Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Displaced avulsion fracture (chip fracture) of left talus, subsequent encounter for fracture with delayed healing",S92152G,S92152G,,Yes,
"Type III occipital condyle fracture, unspecified side, subsequent encounter for fracture with delayed healing",S02112G,S02112G,,Yes,
"Toxic effect of carbon tetrachloride, intentional self-harm, subsequent encounter",T530X2D,T530X2D,,Yes,
"Pedestrian on skateboard injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V0102XD,V0102XD,,Yes,
"Traumatic rupture of palmar ligament of other finger at metacarpophalangeal and interphalangeal joint, initial encounter",S63428A,S63428A,,Yes,
"Person boarding or alighting a heavy transport vehicle injured in collision with pedestrian or animal, subsequent encounter",V604XXD,V604XXD,,Yes,
"Unspecified superficial injury of right knee, subsequent encounter",S80911D,S80911D,,Yes,
"Dislocation of unspecified parts of neck, sequela",S1320XS,S1320XS,,Yes,
"Hypothermia of newborn, unspecified",P809,P809,,Yes,
"Corrosions of other internal organs, initial encounter",T2899XA,T2899XA,,Yes,
"Juvenile osteochondrosis, unspecified",M929,M929,,Yes,
"Nondisplaced transverse fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S82035R,S82035R,,Yes,
Psoriasis vulgaris,L400,L400,,Yes,
"Unspecified dislocation of right shoulder joint, subsequent encounter",S43004D,S43004D,,Yes,
"Laceration of ulnar artery at wrist and hand level of right arm, subsequent encounter",S65011D,S65011D,,Yes,
"Displaced fracture of proximal phalanx of right index finger, subsequent encounter for fracture with malunion",S62610P,S62610P,,Yes,
"Disorder of white blood cells, unspecified",D729,D729,,Yes,
"Other fracture of lower end of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52691N,S52691N,,Yes,
"Contusion of heart with hemopericardium, sequela",S2601XS,S2601XS,,Yes,
"Nondisplaced fracture of middle third of navicular [scaphoid] bone of unspecified wrist, initial encounter for closed fracture",S62026A,S62026A,,Yes,
Gonococcal pharyngitis,A545,A545,,Yes,
Congenital toxoplasmosis,P371,P371,,Yes,
"Unspecified injury of body of pancreas, subsequent encounter",S36201D,S36201D,,Yes,
"Displaced fracture of coronoid process of right ulna, subsequent encounter for closed fracture with delayed healing",S52041G,S52041G,,Yes,
"Passenger in three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",V341XXS,V341XXS,,Yes,
Unspecified nephritic syndrome with focal and segmental glomerular lesions,N051,N051,,Yes,
"Laceration with foreign body of unspecified elbow, sequela",S51029S,S51029S,,Yes,
"Puncture wound with foreign body of unspecified part of head, initial encounter",S0194XA,S0194XA,,Yes,
"2-part nondisplaced fracture of surgical neck of left humerus, subsequent encounter for fracture with routine healing",S42225D,S42225D,,Yes,
"Sprain of unspecified ligament of right ankle, sequela",S93401S,S93401S,,Yes,
Acute embolism and thrombosis of other thoracic veins,I82290,I82290,,Yes,
"Insect bite (nonvenomous), right foot, initial encounter",S90861A,S90861A,,Yes,
"Displaced fracture of triquetrum [cuneiform] bone, right wrist, subsequent encounter for fracture with malunion",S62111P,S62111P,,Yes,
"Poisoning by local astringents and local detergents, intentional self-harm, initial encounter",T492X2A,T492X2A,,Yes,
"Retained (old) magnetic foreign body in anterior chamber, right eye",H44611,H44611,,Yes,
"Rupture of synovium, right hand",M66141,M66141,,Yes,
"Nondisplaced oblique fracture of shaft of right fibula, initial encounter for closed fracture",S82434A,S82434A,,Yes,
"War operations involving fragments of improvised explosive device [IED], civilian, sequela",Y36261S,Y36261S,,Yes,
Grey baby syndrome,P930,P930,,Yes,
Chronic venous hypertension (idiopathic) with ulcer and inflammation of left lower extremity,I87332,I87332,,Yes,
Rheumatoid heart disease with rheumatoid arthritis of left shoulder,M05312,M05312,,Yes,
"Burn of unspecified degree of unspecified site of left lower limb, except ankle and foot, subsequent encounter",T24002D,T24002D,,Yes,
"Poisoning by salicylates, assault, subsequent encounter",T39093D,T39093D,,Yes,
"Chronic osteomyelitis with draining sinus, right hand",M86441,M86441,,Yes,
"Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with nonunion",S52352K,S52352K,,Yes,
"Traumatic rupture of other ligament of left little finger at metacarpophalangeal and interphalangeal joint, initial encounter",S63497A,S63497A,,Yes,
"Exposure to X-rays, subsequent encounter",W880XXD,W880XXD,,Yes,
"Infective myositis, left hand",M60042,M60042,,Yes,
26 weeks gestation of pregnancy,Z3A26,Z3A26,,Yes,
"Poisoning by antineoplastic and immunosuppressive drugs, undetermined, sequela",T451X4S,T451X4S,,Yes,
"Laceration of other specified muscles and tendons at ankle and foot level, unspecified foot, initial encounter",S96829A,S96829A,,Yes,
"Displaced supracondylar fracture with intracondylar extension of lower end of right femur, subsequent encounter for open fracture type I or II with delayed healing",S72461H,S72461M,,No,
"Unspecified superficial injury of left eyelid and periocular area, sequela",S00202S,S00202S,,Yes,
"Nondisplaced comminuted fracture of shaft of right tibia, subsequent encounter for closed fracture with delayed healing",S82254G,S82254G,,Yes,
"Other specified injury of anterior tibial artery, unspecified leg, subsequent encounter",S85159D,S85159D,,Yes,
"Anterior subluxation of left humerus, sequela",S43012S,S43012S,,Yes,
"Drowning and submersion due to fall off (nonpowered) inflatable craft, sequela",V9206XS,V9206XS,,Yes,
"Chronic Eustachian salpingitis, bilateral",H68023,H68023,,Yes,
"Unspecified infection of urinary tract in pregnancy, second trimester",O2342,O2342,,Yes,
"Other anterior subluxation of right hip, sequela",S73031S,S73031S,,Yes,
"Mosaicism, 45, X/other cell line(s) with abnormal sex chromosome",Q964,Q964,,Yes,
"Superficial foreign body of left thumb, initial encounter",S60352A,S60352A,,Yes,
"Other disorders of bone development and growth, unspecified ulna and radius",M89239,M89239,,Yes,
"Corrosion of first degree of lip(s), subsequent encounter",T2052XD,T2052XD,,Yes,
"Laceration of peroneal artery, left leg, sequela",S85212S,S85212S,,Yes,
"Metatarsalgia, right foot",M7741,M7741,,Yes,
"Displaced simple supracondylar fracture without intercondylar fracture of left humerus, initial encounter for closed fracture",S42412A,S42412A,,Yes,
"Nondisplaced fracture of unspecified radial styloid process, subsequent encounter for closed fracture with nonunion",S52516K,S52516K,,Yes,
"Contusion of right great toe with damage to nail, initial encounter",S90211A,S90211A,,Yes,
"Displaced fracture of hook process of hamate [unciform] bone, unspecified wrist, subsequent encounter for fracture with nonunion",S62153K,S62153K,,Yes,
"Displaced fracture of proximal phalanx of left index finger, initial encounter for closed fracture",S62611A,S62611A,,Yes,
"Open bite of nose, sequela",S0125XS,S0125XS,,Yes,
"Obstruction due to foreign body accidentally left in body following endoscopic examination, initial encounter",T81524A,T81524A,,Yes,
Garden or yard on military base as the place of occurrence of the external cause,Y92137,Y92137,,Yes,
"Central cord syndrome at C8 level of cervical spinal cord, initial encounter",S14128A,S14128A,,Yes,
"Nondisplaced comminuted fracture of shaft of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S82254N,S82254N,,Yes,
"Other physeal fracture of lower end of radius, left arm, initial encounter for closed fracture",S59292A,S59292A,,Yes,
"Unspecified dislocation of unspecified radial head, subsequent encounter",S53006D,S53006D,,Yes,
"Nondisplaced fracture of coronoid process of right ulna, initial encounter for open fracture type I or II",S52044B,S52044B,,Yes,
"Algoneurodystrophy, unspecified thigh",M89059,M89059,,Yes,
"Poisoning by antimycobacterial drugs, undetermined, sequela",T371X4S,T371X4S,,Yes,
"Displaced fracture of lunate [semilunar], right wrist, subsequent encounter for fracture with malunion",S62121P,S62121P,,Yes,
"Unspecified occupant of bus injured in collision with pedal cycle in traffic accident, sequela",V719XXS,V719XXS,,Yes,
"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye",E083552,E083552,,Yes,
"Nondisplaced spiral fracture of shaft of unspecified femur, subsequent encounter for open fracture type I or II with nonunion",S72346M,S72346M,,Yes,
"Poisoning by antidotes and chelating agents, intentional self-harm, sequela",T506X2S,T506X2S,,Yes,
"Nondisplaced fracture of medial cuneiform of left foot, initial encounter for closed fracture",S92245A,S92245A,,Yes,
"Injury of axillary nerve, unspecified arm, sequela",S4430XS,S4430XS,,Yes,
"Other injury of other flexor muscle, fascia and tendon at forearm level, unspecified arm, subsequent encounter",S56299D,S56201D,,No,
"Driver of pick-up truck or van injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter",V5900XD,V5900XD,,Yes,
"Unspecified fracture of upper end of unspecified ulna, subsequent encounter for open fracture type I or II with routine healing",S52009E,S52009E,,Yes,
"Drowning and submersion due to other accident to unspecified watercraft, subsequent encounter",V9089XD,V9089XD,,Yes,
Onchocerciasis without eye disease,B731,B731,,Yes,
"Nondisplaced fracture of unspecified tibial tuberosity, subsequent encounter for open fracture type I or II with nonunion",S82156M,S82156M,,Yes,
"Nondisplaced bimalleolar fracture of right lower leg, subsequent encounter for closed fracture with delayed healing",S82844G,S82844G,,Yes,
"Epilepsy, unspecified, not intractable, with status epilepticus",G40901,G40901,,Yes,
"Laceration of unspecified part of colon, sequela",S36539S,S36539S,,Yes,
"Ulnohumeral (joint) sprain of left elbow, subsequent encounter",S53422D,S53422D,,Yes,
"Algoneurodystrophy, left hand",M89042,M89042,,Yes,
"Myositis ossificans traumatica, right thigh",M61051,M61051,,Yes,
"Displaced spiral fracture of shaft of ulna, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S52242R,S52242R,,Yes,
"Other specified injury of popliteal artery, right leg, sequela",S85091S,S85091S,,Yes,
"Minor laceration of greater saphenous vein at hip and thigh level, left leg, subsequent encounter",S75212D,S75212D,,Yes,
"Major laceration of unspecified external jugular vein, sequela",S15229S,S15229S,,Yes,
"Prosthetic and other implants, materials and accessory orthopedic devices associated with adverse incidents",Y792,Y792,,Yes,
"Osteonecrosis in diseases classified elsewhere, right shoulder",M90511,M90511,,Yes,
"Foreign body on external eye, part unspecified, left eye, sequela",T1592XS,T1592XS,,Yes,
"War operations involving incendiary bullet, military personnel, subsequent encounter",Y36320D,Y36320D,,Yes,
Angiodysplasia of stomach and duodenum with bleeding,K31811,K31811,,Yes,
Malignant neoplasm of labium majus,C510,C510,,Yes,
"Minor laceration of unspecified kidney, initial encounter",S37049A,S37049A,,Yes,
"Subluxation of distal radioulnar joint of unspecified wrist, subsequent encounter",S63013D,S63013D,,Yes,
"Nondisplaced fracture of navicular [scaphoid] of left foot, initial encounter for closed fracture",S92255A,S92255A,,Yes,
"Nondisplaced fracture of lesser tuberosity of right humerus, subsequent encounter for fracture with nonunion",S42264K,S42264K,,Yes,
"Monteggia's fracture of unspecified ulna, subsequent encounter for open fracture type I or II with routine healing",S52279E,S52279E,,Yes,
"Vitreous hemorrhage, right eye",H4311,H4311,,Yes,
"Other infective (teno)synovitis, left knee",M65162,M65162,,Yes,
"Inhalant abuse, in remission",F1811,F1811,,Yes,
"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with routine healing",S82855D,S82855D,,Yes,
"Displaced fracture of lateral condyle of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S82122F,S82122F,,Yes,
"Other specified injury of blood vessel of left thumb, sequela",S65492S,S65492S,,Yes,
Factitious disorder imposed on another,F68A,F68A,,Yes,
"Nondisplaced fracture of body of hamate [unciform] bone, right wrist, subsequent encounter for fracture with routine healing",S62144D,S62144D,,Yes,
"Central dislocation of left hip, subsequent encounter",S73045D,S73045D,,Yes,
"Other mechanical complication of implanted electronic neurostimulator of brain electrode (lead), subsequent encounter",T85190D,T85190D,,Yes,
"Other effects of air pressure and water pressure, sequela",T708XXS,T708XXS,,Yes,
"Maternal care for (suspected) damage to fetus by other medical procedures, other fetus",O357XX9,O357XX9,,Yes,
"Corrosion of first degree of left wrist, initial encounter",T23572A,T23572A,,Yes,
"Age-related osteoporosis with current pathological fracture, left shoulder, sequela",M80012S,M80012S,,Yes,
"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, initial encounter for open fracture type I or II",S72024B,S72024B,,Yes,
"Corrosion of third degree of head, face, and neck, unspecified site, sequela",T2070XS,T2070XS,,Yes,
"Unspecified fracture of right femur, subsequent encounter for closed fracture with delayed healing",S7291XG,S7291XG,,Yes,
"Superficial foreign body of left eyelid and periocular area, sequela",S00252S,S00252S,,Yes,
Non-pressure chronic ulcer of right thigh limited to breakdown of skin,L97111,L97111,,Yes,
"Unspecified subluxation of unspecified ulnohumeral joint, subsequent encounter",S53103D,S53103D,,Yes,
"Other fracture of lower end of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52692C,S52692C,,Yes,
"Puncture wound with foreign body of right lesser toe(s) with damage to nail, sequela",S91244S,S91244S,,Yes,
"Pathological fracture in other disease, unspecified ankle, initial encounter for fracture",M84673A,M84673A,,Yes,
Irritative hyperplasia of oral mucosa,K136,K136,,Yes,
"Congenital pneumonia due to streptococcus, group B",P233,P233,,Yes,
"Genital varices in pregnancy, second trimester",O2212,O2212,,Yes,
"Other superficial bite of unspecified parts of thorax, subsequent encounter",S2097XD,S2097XD,,Yes,
"Derangement of anterior horn of medial meniscus due to old tear or injury, unspecified knee",M23219,M23219,,Yes,
Other immunodeficiencies with predominantly antibody defects,D808,D808,,Yes,
"Person boarding or alighting from bus injured in collision with pedestrian or animal, initial encounter",V704XXA,V704XXA,,Yes,
"Sprain of the superior tibiofibular joint and ligament, unspecified knee, subsequent encounter",S8360XD,S8360XD,,Yes,
"Exposure to other excessive cold of man-made origin, subsequent encounter",W938XXD,W938XXD,,Yes,
"Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with malunion",S52355P,S52355P,,Yes,
"Unspecified fracture of T5-T6 vertebra, initial encounter for closed fracture",S22059A,S22059A,,Yes,
"Unspecified open wound of right thumb with damage to nail, sequela",S61101S,S61101S,,Yes,
Burns involving 60-69% of body surface with 40-49% third degree burns,T3164,T3164,,Yes,
"Type I occipital condyle fracture, left side, initial encounter for closed fracture",S0211BA,S0211BA,,Yes,
Deep endometriosis of bilateral ureters,N80A53,N80A53,,Yes,
"Intentional self-harm by drowning and submersion while in swimming pool, sequela",X711XXS,X711XXS,,Yes,
"Sedative, hypnotic or anxiolytic abuse with withdrawal delirium",F13131,F13131,,Yes,
"Activity, sewing",Y93D2,Y93D2,,Yes,
"Displaced fracture of lesser trochanter of right femur, subsequent encounter for closed fracture with delayed healing",S72121G,S72121G,,Yes,
"Superficial foreign body of right eyelid and periocular area, sequela",S00251S,S00251S,,Yes,
Other complication of respirator [ventilator],J95859,J95859,,Yes,
"Blister (nonthermal) of breast, right breast, sequela",S20121S,S20121S,,Yes,
"Toxic effect of hydrogen sulfide, undetermined, initial encounter",T596X4A,T596X4A,,Yes,
"Corrosion of third degree of multiple sites of left shoulder and upper limb, except wrist and hand, initial encounter",T22792A,T22792A,,Yes,
"Infection and inflammatory reaction due to other urinary catheter, initial encounter",T83518A,T83518A,,Yes,
"Maternal care for other malpresentation of fetus, fetus 4",O328XX4,O328XX4,,Yes,
"Laceration with foreign body of unspecified front wall of thorax without penetration into thoracic cavity, initial encounter",S21129A,S21129A,,Yes,
"Displaced fracture of greater trochanter of right femur, subsequent encounter for open fracture type I or II with malunion",S72111Q,S72111Q,,Yes,
"Displaced fracture of first metatarsal bone, left foot, initial encounter for open fracture",S92312B,S92312B,,Yes,
"Displaced transverse fracture of shaft of right radius, subsequent encounter for closed fracture with delayed healing",S52321G,S52321G,,Yes,
"Chondromalacia, joints of left hand",M94242,M94242,,Yes,
Other school as the place of occurrence of the external cause,Y92218,Y92218,,Yes,
"Nondisplaced spiral fracture of shaft of right femur, subsequent encounter for open fracture type I or II with malunion",S72344Q,S72344Q,,Yes,
"Flail joint, left knee",M25262,M25262,,Yes,
"Toxic effect of venom of centipedes and venomous millipedes, assault, initial encounter",T63413A,T63413A,,Yes,
"Complete traumatic amputation of unspecified hand at wrist level, initial encounter",S68419A,S68419A,,Yes,
"Unspecified lump in the right breast, lower inner quadrant",N6314,N6314,,Yes,
Encounter for fitting and adjustment of partial artificial right arm,Z44021,Z44021,,Yes,
"Anterior cord syndrome at C3 level of cervical spinal cord, subsequent encounter",S14133D,S14133D,,Yes,
"Other exposure to controlled fire in building or structure, initial encounter",X028XXA,X028XXA,,Yes,
"Laceration of muscle and tendon of unspecified wall of thorax, sequela",S29029S,S29029S,,Yes,
"Juvenile osteochondrosis of proximal tibia, unspecified leg",M92519,M92519,,Yes,
"Other injury of adductor muscle, fascia and tendon of unspecified thigh, subsequent encounter",S76299D,S76299D,,Yes,
"Displaced fracture of distal phalanx of unspecified thumb, initial encounter for closed fracture",S62523A,S62523A,,Yes,
"Foreign body in mouth, subsequent encounter",T180XXD,T180XXD,,Yes,
"Nondisplaced supracondylar fracture with intracondylar extension of lower end of unspecified femur, initial encounter for open fracture type I or II",S72466B,S72466B,,Yes,
"Military operations involving explosion of unspecified marine weapon, military personnel, initial encounter",Y37000A,Y37000A,,Yes,
"Blister (nonthermal) of unspecified thumb, sequela",S60329S,S60329S,,Yes,
"Aneurysmal bone cyst, left hand",M85542,M85542,,Yes,
"Infection of amputation stump, right lower extremity",T8743,T8743,,Yes,
"Nondisplaced fracture of first metatarsal bone, left foot, initial encounter for closed fracture",S92315A,S92315A,,Yes,
"Toxic effect of venom of other venomous lizard, assault, initial encounter",T63123A,T63123A,,Yes,
"Displaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S72043J,S72043J,,Yes,
"Unstable burst fracture of unspecified thoracic vertebra, sequela",S22002S,S22002S,,Yes,
"Drowning and submersion due to fall off merchant ship, initial encounter",V9200XA,V9200XA,,Yes,
"Laceration without foreign body of right lesser toe(s) with damage to nail, initial encounter",S91214A,S91114A,,No,
Drug or chemical induced diabetes mellitus with neurological complications with diabetic amyotrophy,E0944,E0944,,Yes,
"Anterior synechiae (iris), left eye",H21512,H21512,,Yes,
Measles complicated by meningitis,B051,B051,,Yes,
"Carrier of Enterobacterales, unspecified",Z22359,Z22359,,Yes,
Postprocedural hepatic failure,K9182,K9182,,Yes,
"Nondisplaced oblique fracture of shaft of humerus, right arm, subsequent encounter for fracture with malunion",S42334P,S42334P,,Yes,
"Maternal care for disproportion of mixed maternal and fetal origin, other fetus",O334XX9,O334XX9,,Yes,
"Pathological fracture in other disease, pelvis, subsequent encounter for fracture with malunion",M84650P,M84650P,,Yes,
"Burn of third degree of left knee, subsequent encounter",T24322D,T24322D,,Yes,
"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for closed fracture with delayed healing",S52031G,S52031G,,Yes,
"Corrosion of second degree of left toe(s) (nail), sequela",T25632S,T25632S,,Yes,
"Pregnancy related conditions, unspecified, unspecified trimester",O2690,O2690,,Yes,
"Retinal detachment with retinal dialysis, right eye",H33041,H33041,,Yes,
"Unspecified fracture of lower end of right femur, subsequent encounter for open fracture type I or II with routine healing",S72401E,S72401E,,Yes,
"Adhesions due to foreign body accidentally left in body following infusion or transfusion, sequela",T81511S,T81511S,,Yes,
"Unspecified foreign body in larynx causing other injury, initial encounter",T17308A,T17308A,,Yes,
Encounter for examination for adolescent development state,Z003,Z003,,Yes,
"Nondisplaced fracture of right ulna styloid process, subsequent encounter for open fracture type I or II with delayed healing",S52614H,S52614H,,Yes,
Garden or yard of children's home and orphanage as the place of occurrence of the external cause,Y92116,Y92116,,Yes,
"Rupture of synovium, right shoulder",M66111,M66111,,Yes,
"Displaced spiral fracture of shaft of right femur, initial encounter for open fracture type I or II",S72341B,S72341B,,Yes,
"Open bite, right hip, sequela",S71051S,S71051S,,Yes,
"Laceration of muscle, fascia and tendon of the posterior muscle group at thigh level, unspecified thigh, initial encounter",S76329A,S76329A,,Yes,
Whooping cough due to Bordetella parapertussis without pneumonia,A3710,A3710,,Yes,
Complex regional pain syndrome I of unspecified lower limb,G90529,G90529,,Yes,
"Poisoning by cephalosporins and other beta-lactam antibiotics, accidental (unintentional), initial encounter",T361X1A,T361X1A,,Yes,
"Poisoning by unspecified agents primarily affecting the gastrointestinal system, accidental (unintentional), subsequent encounter",T4791XD,T4791XD,,Yes,
"Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye, sequela",S0530XS,S0530XS,,Yes,
"Passenger in pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident, sequela",V501XXS,V501XXS,,Yes,
Kuru,A8181,A8181,,Yes,
"Continuing pregnancy after intrauterine death of one fetus or more, third trimester, fetus 2",O3123X2,O3123X2,,Yes,
"Malignant melanoma of unspecified eyelid, including canthus",C4310,C4310,,Yes,
"Cervical shortening, second trimester",O26872,O26872,,Yes,
"Other complications of foreign body accidentally left in body following infusion or transfusion, subsequent encounter",T81591D,T81591D,,Yes,
"Other burn on board fishing boat, sequela",V9312XS,V9312XS,,Yes,
Atypical squamous cells cannot exclude high grade squamous intraepithelial lesion on cytologic smear of vagina (ASC-H),R87621,R87621,,Yes,
"Poisoning by cannabis, intentional self-harm, subsequent encounter",T40712D,T40712D,,Yes,
"Other fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with routine healing",S52399D,S52399D,,Yes,
"Acquired clawhand, unspecified hand",M21519,M21519,,Yes,
"Rider of nonpowered watercraft struck by other nonpowered watercraft, subsequent encounter",V9421XD,V9421XD,,Yes,
"Poisoning by cocaine, accidental (unintentional), sequela",T405X1S,T405X1S,,Yes,
Crowding of fully erupted teeth,M2631,M2631,,Yes,
"Kaschin-Beck disease, unspecified wrist",M12139,M12139,,Yes,
"Displaced comminuted fracture of shaft of radius, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52351C,S52351C,,Yes,
"Strain of muscle, fascia and tendon at neck level, initial encounter",S161XXA,S161XXA,,Yes,
"Toxic effect of carbon disulfide, undetermined, subsequent encounter",T654X4D,T654X4D,,Yes,
"Laceration of other part of small intestine, subsequent encounter",S36438D,S36438D,,Yes,
"Unspecified superficial injury of unspecified external genital organs, female, subsequent encounter",S3097XD,S3097XD,,Yes,
Acute gastrojejunal ulcer without hemorrhage or perforation,K283,K283,,Yes,
Benign neoplasm of prostate,D291,D291,,Yes,
