Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Other intraarticular fracture of lower end of left radius, subsequent encounter for open fracture type I or II with delayed healing",S52572H,S52572H,,Yes,
"Preterm labor with preterm delivery, unspecified trimester, fetus 2",O6010X2,O6010X2,,Yes,
"Other specified injury of blood vessel of left thumb, initial encounter",S65492A,S65492A,,Yes,
"Nondisplaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type I or II with routine healing",S82134E,S82134E,,Yes,
"Other fracture of shaft of right femur, subsequent encounter for open fracture type I or II with malunion",S72391Q,S72391Q,,Yes,
"Injury of lateral plantar nerve, right leg, subsequent encounter",S9401XD,S9401XD,,Yes,
"Toxic effect of organophosphate and carbamate insecticides, undetermined, subsequent encounter",T600X4D,T600X4D,,Yes,
"Unspecified interstitial keratitis, right eye",H16301,H16301,,Yes,
"Dementia in other diseases classified elsewhere, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F0280,F0280,,Yes,
"Laceration of radial artery at wrist and hand level of unspecified arm, initial encounter",S65119A,S65119A,,Yes,
"Hallucinogen abuse, uncomplicated",F1610,F1610,,Yes,
"Unemployment, unspecified",Z560,Z560,,Yes,
"Displaced fracture of cuboid bone of left foot, subsequent encounter for fracture with malunion",S92212P,S92212P,,Yes,
"Scooter (nonmotorized) colliding with stationary object, subsequent encounter",V00142D,V00142D,,Yes,
"Puncture wound without foreign body of left middle finger without damage to nail, subsequent encounter",S61233D,S61233D,,Yes,
"Unspecified fracture of lower end of right femur, subsequent encounter for closed fracture with delayed healing",S72401G,S72401G,,Yes,
"Unspecified complication of foreign body accidentally left in body following infusion or transfusion, subsequent encounter",T81501D,T81501D,,Yes,
"Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52355F,S52355F,,Yes,
"Other specified injury of left internal jugular vein, sequela",S15392S,S15392S,,Yes,
"Acute promyelocytic leukemia, not having achieved remission",C9240,C9240,,Yes,
"Displaced fracture of navicular [scaphoid] of left foot, subsequent encounter for fracture with malunion",S92252P,S92252P,,Yes,
"Open bite of unspecified part of thorax, sequela",S2195XS,S2195XS,,Yes,
"Insect bite (nonvenomous) of unspecified front wall of thorax, initial encounter",S20369A,S20369A,,Yes,
"Nondisplaced fracture of greater trochanter of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S72115N,S72115N,,Yes,
"Other fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S82892F,S82892F,,Yes,
"Displaced fracture of left radial styloid process, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52512N,S52512N,,Yes,
"Displaced fracture of proximal phalanx of left ring finger, initial encounter for closed fracture",S62615A,S62615A,,Yes,
"Nondisplaced fracture of unspecified tibial tuberosity, subsequent encounter for closed fracture with delayed healing",S82156G,S82156G,,Yes,
"Displaced fracture of unspecified ulna styloid process, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52613C,S52613C,,Yes,
"Displaced comminuted fracture of shaft of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S82251J,S82251J,,Yes,
"Other slipping, tripping and stumbling without falling, sequela",W1849XS,W1849XS,,Yes,
"Hereditary hemolytic anemia, unspecified",D589,D589,,Yes,
"Osteochondropathy, unspecified, right hand",M93941,M93941,,Yes,
"Intentional self-harm by drowning and submersion in natural water, initial encounter",X713XXA,X713XXA,,Yes,
"Juvenile rheumatoid arthritis with systemic onset, unspecified hand",M08249,M08249,,Yes,
"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",E093299,E093299,,Yes,
"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 13, fetus 3",O3511X3,O3511X3,,Yes,
"Nondisplaced fracture of neck of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S52134J,S52134J,,Yes,
"Nondisplaced fracture of base of third metacarpal bone, left hand, sequela",S62343S,S62343S,,Yes,
"Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type I or II with delayed healing",S72025H,S72025H,,Yes,
"Prosthetic and other implants, materials and accessory physical medicine devices associated with adverse incidents",Y802,Y802,,Yes,
"Strain of flexor muscle, fascia and tendon of other finger at wrist and hand level, subsequent encounter",S66118D,S66118D,,Yes,
"Subluxation of interphalangeal joint of right lesser toe(s), subsequent encounter",S93134D,S93134D,,Yes,
"Other psychoactive substance use, unspecified with intoxication, unspecified",F19929,F19929,,Yes,
"Open bite, left lower leg, subsequent encounter",S81852D,S81852D,,Yes,
"Early-onset cerebellar ataxia, unspecified",G1110,G1110,,Yes,
"Asphyxiation due to mechanical threat to breathing due to other causes, assault, subsequent encounter",T71193D,T71193D,,Yes,
"Displaced oblique fracture of shaft of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S72331F,S72331F,,Yes,
"Displaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with routine healing",S52323E,S52323E,,Yes,
"Displaced oblique fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with nonunion",S82433M,S82433M,,Yes,
"Displaced oblique fracture of shaft of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S72333J,S72333J,,Yes,
