Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Strain of unspecified muscles, fascia and tendons at thigh level, right thigh, sequela",S76911S,S76911S,,Yes,
"Salter-Harris Type IV physeal fracture of lower end of humerus, right arm, subsequent encounter for fracture with routine healing",S49141D,S49141D,,Yes,
"War operations involving destruction of aircraft due to enemy fire or explosives, military personnel, subsequent encounter",Y36110D,Y36110D,,Yes,
"Underdosing of unspecified agents primarily acting on the respiratory system, initial encounter",T48906A,T48906A,,Yes,
"Salter-Harris Type III physeal fracture of lower end of right femur, subsequent encounter for fracture with routine healing",S79131D,S79131D,,Yes,
"Calcific tendinitis, right ankle and foot",M65271,M65271,,Yes,
"Person injured in collision between car and pick-up truck or van (traffic), subsequent encounter",V872XXD,V872XXD,,Yes,
"Childhood emotional disorder, unspecified",F939,F939,,Yes,
"Poisoning by antidotes and chelating agents, accidental (unintentional), sequela",T506X1S,T506X1S,,Yes,
"Congenital ichthyosis, unspecified",Q809,Q809,,Yes,
"Strain of flexor muscle, fascia and tendon of left ring finger at forearm level, initial encounter",S56116A,S56116A,,Yes,
"Nondisplaced transverse fracture of shaft of right ulna, subsequent encounter for open fracture type I or II with delayed healing",S52224H,S52224H,,Yes,
"Puncture wound with foreign body of vagina and vulva, initial encounter",S3144XA,S3144XA,,Yes,
"Major osseous defect, multiple sites",M8979,M8979,,Yes,
"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",S12330B,S12330B,,Yes,
"Other specified injury of vein at forearm level, left arm, subsequent encounter",S55292D,S55292D,,Yes,
"Laceration of portal vein, initial encounter",S35311A,S35311A,,Yes,
"Displaced oblique fracture of shaft of left ulna, initial encounter for closed fracture",S52232A,S52232A,,Yes,
"Fracture of unspecified phalanx of left middle finger, subsequent encounter for fracture with routine healing",S62603D,S62603D,,Yes,
"Nondisplaced fracture of medial condyle of left tibia, subsequent encounter for closed fracture with malunion",S82135P,S82135P,,Yes,
"Maternal care for unspecified congenital malformation of uterus, first trimester",O3401,O3401,,Yes,
"Toxic effect of contact with venomous toad, accidental (unintentional), initial encounter",T63821A,T63821A,,Yes,
"Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders",F17219,F17219,,Yes,
"Poisoning by chloramphenicol group, intentional self-harm, initial encounter",T362X2A,T362X2A,,Yes,
"Puncture wound without foreign body of larynx, subsequent encounter",S11013D,S11013D,,Yes,
"Nondisplaced transverse fracture of shaft of left radius, sequela",S52325S,S52325S,,Yes,
"Anterior subluxation of unspecified humerus, initial encounter",S43013A,S43013A,,Yes,
"Unspecified physeal fracture of lower end of right femur, subsequent encounter for fracture with malunion",S79101P,S79101P,,Yes,
"Unspecified displaced fracture of seventh cervical vertebra, subsequent encounter for fracture with delayed healing",S12600G,S12600G,,Yes,
"Burn of first degree of unspecified palm, subsequent encounter",T23159D,T23159D,,Yes,
"Other physeal fracture of upper end of radius, right arm, initial encounter for closed fracture",S59191A,S59191A,,Yes,
"Superficial foreign body of unspecified upper arm, subsequent encounter",S40859D,S40859D,,Yes,
"Exposure to other specified smoke, fire and flames, sequela",X088XXS,X088XXS,,Yes,
Female genital mutilation Type II status,N90812,N90812,,Yes,
"Subluxation of interphalangeal joint of unspecified lesser toe(s), initial encounter",S93136A,S93136A,,Yes,
"Toxic effect of venom of other snake, undetermined, sequela",T63094S,T63094S,,Yes,
"Nondisplaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with routine healing",S52366E,S52366E,,Yes,
"Chondromalacia, other site",M9428,M9428,,Yes,
"Injury of radial nerve at forearm level, right arm, subsequent encounter",S5421XD,S5421XD,,Yes,
Generalized hyperhidrosis,R61,R61,,Yes,
"Other fracture of left femur, subsequent encounter for open fracture type I or II with delayed healing",S728X2H,S728X2H,,Yes,
Endometriosis of rectovaginal septum with involvement of vagina,N8042,N8042,,Yes,
"Chronic gout due to renal impairment, unspecified ankle and foot, without tophus (tophi)",M1A3790,M1A3790,,Yes,
"Other exposure to controlled fire, not in building or structure, initial encounter",X038XXA,X038XXA,,Yes,
"Poisoning by histamine H2-receptor blockers, accidental (unintentional), subsequent encounter",T470X1D,T470X1D,,Yes,
"Other fracture of third metacarpal bone, right hand, initial encounter for closed fracture",S62392A,S62392A,,Yes,
"Unspecified fracture of the lower end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52502N,S52502N,,Yes,
"Displaced fracture of neck of scapula, right shoulder, subsequent encounter for fracture with malunion",S42151P,S42151P,,Yes,
"Poisoning by other general anesthetics, accidental (unintentional), initial encounter",T41291A,T41291A,,Yes,
"Other superficial bite of unspecified great toe, sequela",S90473S,S90473S,,Yes,
Staphylococcal polyarthritis,M0009,M0009,,Yes,
"Puncture wound of abdominal wall without foreign body, right lower quadrant without penetration into peritoneal cavity, initial encounter",S31133A,S31133A,,Yes,
"Strain of other specified muscles, fascia and tendons at thigh level, unspecified thigh, sequela",S76819S,S76819S,,Yes,
"Gastric contents in respiratory tract, part unspecified causing other injury, subsequent encounter",T17918D,T17918D,,Yes,
"Other secondary chronic gout, unspecified ankle and foot, without tophus (tophi)",M1A4790,M1A4790,,Yes,
"Bent bone of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52283C,S52283C,,Yes,
"Nondisplaced fracture of navicular [scaphoid] of unspecified foot, sequela",S92256S,S92256S,,Yes,
"Nondisplaced oblique fracture of shaft of unspecified femur, subsequent encounter for open fracture type I or II with malunion",S72336Q,S72336Q,,Yes,
"Smith's fracture of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52541F,S52541F,,Yes,
"Other extraarticular fracture of lower end of left radius, subsequent encounter for closed fracture with malunion",S52552P,S52552P,,Yes,
"Legal intervention involving unspecified firearm discharge, unspecified person injured, initial encounter",Y35009A,Y35009A,,Yes,
"Unspecified injury of fallopian tube, unspecified, subsequent encounter",S37509D,S37509D,,Yes,
"Collapsed vertebra, not elsewhere classified, occipito-atlanto-axial region, subsequent encounter for fracture with routine healing",M4851XD,M4851XD,,Yes,
"Corrosion of second degree of multiple sites of right shoulder and upper limb, except wrist and hand, initial encounter",T22691A,T22691A,,Yes,
"Valgus deformity, not elsewhere classified, unspecified knee",M21069,M21069,,Yes,
"Unspecified fracture of shaft of right femur, subsequent encounter for closed fracture with delayed healing",S72301G,S72301G,,Yes,
Non-pressure chronic ulcer of other part of right foot with bone involvement without evidence of necrosis,L97516,L97516,,Yes,
"Open bite of left cheek and temporomandibular area, sequela",S01452S,S01452S,,Yes,
"Unspecified fracture of fourth metacarpal bone, right hand, sequela",S62304S,S62304S,,Yes,
"Terrorism involving nuclear weapons, civilian injured, initial encounter",Y385X2A,Y385X2A,,Yes,
"Laceration of unspecified muscle, fascia and tendon at shoulder and upper arm level, left arm, subsequent encounter",S46922D,S46922D,,Yes,
"Strain of extensor muscle, fascia and tendon of right little finger at forearm level, subsequent encounter",S56417D,S56417D,,Yes,
"Nondisplaced fracture of left tibial tuberosity, initial encounter for closed fracture",S82155A,S82155A,,Yes,
"Nondisplaced comminuted fracture of shaft of unspecified tibia, subsequent encounter for closed fracture with nonunion",S82256K,S82256K,,Yes,
"Displaced fracture of base of unspecified metacarpal bone, subsequent encounter for fracture with malunion",S62319P,S62319P,,Yes,
"War operations involving indirect blast effect of nuclear weapon, military personnel, subsequent encounter",Y36520D,Y36520D,,Yes,
"Gastric contents in respiratory tract, part unspecified causing asphyxiation, initial encounter",T17910A,T17910A,,Yes,
"Other specified injury of other blood vessels at abdomen, lower back and pelvis level, initial encounter",S358X8A,S358X8A,,Yes,
"Other specified injury of dorsal vein of left foot, initial encounter",S95292A,S95292A,,Yes,
"Blister (nonthermal) of lip, sequela",S00521S,S00521S,,Yes,
"Drowning and submersion due to fall off canoe or kayak, subsequent encounter",V9205XD,V9205XD,,Yes,
"Unspecified helicopter accident injuring occupant, subsequent encounter",V9500XD,V9500XD,,Yes,
"Contusion of scrotum and testes, subsequent encounter",S3022XD,S3022XD,,Yes,
"Displaced comminuted fracture of shaft of unspecified tibia, subsequent encounter for open fracture type I or II with delayed healing",S82253H,S82253H,,Yes,
"Chronic postrheumatic arthropathy [Jaccoud], right ankle and foot",M12071,M12071,,Yes,
"Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle, nontraffic, sequela",V889XXS,V889XXS,,Yes,
Abscess of left lower eyelid,H00035,H00035,,Yes,
"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",S06365A,S06365A,,Yes,
Encounter for nonprocreative genetic counseling,Z7183,Z7183,,Yes,
"Osteonecrosis due to drugs, unspecified tibia",M87163,M87163,,Yes,
"Poisoning by other estrogens and progestogens, accidental (unintentional), sequela",T385X1S,T385X1S,,Yes,
Lassa fever,A962,A962,,Yes,
"Blister (nonthermal) of breast, left breast, initial encounter",S20122A,S20122A,,Yes,
"Superficial frostbite of right ear, initial encounter",T33011A,T33011A,,Yes,
Encounter for examination of eyes and vision following failed vision screening with abnormal findings,Z01021,Z01021,,Yes,
"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with malunion",S82865P,S82865P,,Yes,
"Other displaced fracture of seventh cervical vertebra, subsequent encounter for fracture with routine healing",S12690D,S12690D,,Yes,
Sickle-cell thalassemia beta plus with crisis with other specified complication,D57458,D57458,,Yes,
"Poisoning by other specified systemic anti-infectives and antiparasitics, assault, sequela",T378X3S,T378X3S,,Yes,
"Puncture wound without foreign body of penis, sequela",S3123XS,S3123XS,,Yes,
"Other fracture of upper and lower end of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S82832N,S82832N,,Yes,
"Other displaced fracture of upper end of unspecified humerus, initial encounter for closed fracture",S42293A,S42293A,,Yes,
"Complete lesion at C7 level of cervical spinal cord, subsequent encounter",S14117D,S14117D,,Yes,
Hyperosmolality and hypernatremia,E870,E870,,Yes,
"Miotic pupillary cyst, right eye",H21271,H21271,,Yes,
"Other mucopurulent conjunctivitis, unspecified eye",H10029,H10029,,Yes,
Infection of tracheostomy stoma,J9502,J9502,,Yes,
"Effect of air pressure and water pressure, unspecified, sequela",T709XXS,T709XXS,,Yes,
"Pedestrian on standing electric scooter injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter",V02131D,V02131D,,Yes,
