Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Nondisplaced transverse fracture of shaft of left fibula, subsequent encounter for closed fracture with routine healing",S82425D,S82425D,,Yes,
"Laceration of deep palmar arch of right hand, initial encounter",S65311A,S65311A,,Yes,
"Alopecia areata, unspecified",L639,L639,,Yes,
"Poisoning by tetracyclines, intentional self-harm, initial encounter",T364X2A,T364X2A,,Yes,
"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, right leg",I70601,I70601,,Yes,
"Nondisplaced oblique fracture of shaft of left femur, subsequent encounter for closed fracture with nonunion",S72335K,S72335K,,Yes,
"Fracture of one rib, right side, initial encounter for open fracture",S2231XB,S2231XB,,Yes,
"Salter-Harris Type II physeal fracture of unspecified calcaneus, initial encounter for open fracture",S99029B,S99029B,,Yes,
"Poisoning by unspecified topical agent, intentional self-harm, initial encounter",T4992XA,T4992XA,,Yes,
"Traumatic rupture of palmar ligament of right index finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",S63420D,S63420D,,Yes,
"Displaced fracture of medial cuneiform of unspecified foot, initial encounter for open fracture",S92243B,S92243B,,Yes,
"Labor and delivery complicated by cord around neck, without compression, fetus 1",O6981X1,O6981X1,,Yes,
"Corrosion of unspecified degree of multiple sites of left shoulder and upper limb, except wrist and hand, sequela",T22492S,T22492S,,Yes,
"Charcot's joint, unspecified hip",M14659,M14659,,Yes,
"Pathological fracture, right humerus, subsequent encounter for fracture with delayed healing",M84421G,M84421G,,Yes,
"Lipid storage disorder, unspecified",E756,E756,,Yes,
"Toxic effect of fusel oil, assault, initial encounter",T513X3A,T513X3A,,Yes,
"Glaucoma secondary to eye trauma, bilateral, severe stage",H4033X3,H4033X3,,Yes,
"Anterior subluxation of left radial head, initial encounter",S53012A,S53012A,,Yes,
"Other mechanical complication of internal fixation device of bone of left lower leg, sequela",T84197S,T84197S,,Yes,
"Other injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, right leg, sequela",S86391S,S86391S,,Yes,
Actinomycotic sepsis,A427,A427,,Yes,
"Adverse effect of histamine H2-receptor blockers, sequela",T470X5S,T470X5S,,Yes,
"Scleritis with corneal involvement, unspecified eye",H15049,H15049,,Yes,
Right ovarian pregnancy without intrauterine pregnancy,O00201,O00201,,Yes,
"Explosion of other specified explosive materials, initial encounter",W408XXA,W408XXA,,Yes,
"Frostbite with tissue necrosis of unspecified arm, sequela",T3440XS,T3440XS,,Yes,
Waldenstrom macroglobulinemia,C880,C880,,Yes,
"Nondisplaced other extraarticular fracture of unspecified calcaneus, subsequent encounter for fracture with nonunion",S92056K,S92056K,,Yes,
"Melanoma in situ of left lower eyelid, including canthus",D03122,D03122,,Yes,
"Congenital dislocation of hip, unspecified",Q652,Q652,,Yes,
"Unspecified injury of intrinsic muscle, fascia and tendon of other finger at wrist and hand level, sequela",S66508S,S66508S,,Yes,
"Other marginal perforations of tympanic membrane, right ear",H722X1,H722X1,,Yes,
"Malignant neoplasm of stomach, unspecified",C169,C169,,Yes,
"Aqueous misdirection, right eye",H40831,H40831,,Yes,
"Coma scale, best verbal response, confused conversation, at arrival to emergency department",R402242,R402242,,Yes,
"Crushing injury of vulva, initial encounter",S3803XA,S3803XA,,Yes,
"War operations involving accidental detonation of onboard marine weapons, civilian, initial encounter",Y36051A,Y36051A,,Yes,
"Displaced unspecified fracture of right lesser toe(s), subsequent encounter for fracture with routine healing",S92501D,S92501D,,Yes,
"Other fracture of right femur, subsequent encounter for open fracture type I or II with routine healing",S728X1E,S728X1E,,Yes,
"Puncture wound with foreign body of left front wall of thorax without penetration into thoracic cavity, subsequent encounter",S21142D,S21142D,,Yes,
Congenital coxa vara,Q6582,Q6582,,Yes,
"Major osseous defect, left shoulder region",M89712,M89712,,Yes,
"Partial traumatic amputation of right hand at wrist level, sequela",S68421S,S68421S,,Yes,
"Open bite of right eyelid and periocular area, initial encounter",S01151A,S01151A,,Yes,
"Unspecified injury of flexor muscle, fascia and tendon of left middle finger at wrist and hand level, subsequent encounter",S66103D,S66103D,,Yes,
"Corrosion of first degree of unspecified scapular region, initial encounter",T22569A,T22569A,,Yes,
"Underdosing of phenothiazine antipsychotics and neuroleptics, sequela",T433X6S,T433X6S,,Yes,
"Puncture wound without foreign body of left cheek and temporomandibular area, initial encounter",S01432A,S01432A,,Yes,
"Radiohumeral (joint) sprain of unspecified elbow, sequela",S53419S,S53419S,,Yes,
"Fracture of coronoid process of right mandible, subsequent encounter for fracture with delayed healing",S02631G,S02631G,,Yes,
"Laceration without foreign body of left breast, initial encounter",S21012A,S21012A,,Yes,
"Pathological fracture in neoplastic disease, hip, unspecified, subsequent encounter for fracture with routine healing",M84559D,M84559D,,Yes,
"Puncture wound with foreign body of lip, initial encounter",S01541A,S01541A,,Yes,
"Occupant of streetcar injured in collision with motor vehicle in traffic accident, sequela",V821XXS,V821XXS,,Yes,
"Caught, crushed, jammed, or pinched between stationary objects, sequela",W231XXS,W231XXS,,Yes,
"Unspecified fracture of the lower end of unspecified radius, subsequent encounter for open fracture type I or II with routine healing",S52509E,S52509E,,Yes,
"Dislocation of interphalangeal joint of unspecified toe(s), initial encounter",S93119A,S93119A,,Yes,
"Degenerative disease of basal ganglia, unspecified",G239,G239,,Yes,
"Crushed between other unpowered watercraft and other watercraft or other object due to collision, initial encounter",V9118XA,V9118XA,,Yes,
"Pregnancy related renal disease, first trimester",O26831,O26831,,Yes,
Unspecified mononeuropathy of unspecified lower limb,G5790,G5790,,Yes,
"Anterior displaced fracture of sternal end of right clavicle, initial encounter for closed fracture",S42011A,S42011A,,Yes,
Other androgenic alopecia,L648,L648,,Yes,
"Pedal cycle passenger injured in collision with pedestrian or animal in traffic accident, sequela",V105XXS,V105XXS,,Yes,
"Nondisplaced spiral fracture of shaft of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S82246R,S82246R,,Yes,
"Puncture wound with foreign body of unspecified thumb with damage to nail, sequela",S61149S,S61149S,,Yes,
"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",E133513,E133513,,Yes,
"Contact with edge of stiff paper, subsequent encounter",W262XXD,W262XXD,,Yes,
"Military operations involving destruction of aircraft due to collision with other aircraft, military personnel, initial encounter",Y37120A,Y37120A,,Yes,
"Opioid abuse with intoxication, uncomplicated",F11120,F11120,,Yes,
"Displaced fracture (avulsion) of medial epicondyle of right humerus, subsequent encounter for fracture with routine healing",S42441D,S42441D,,Yes,
"Other nondisplaced fracture of upper end of left humerus, subsequent encounter for fracture with nonunion",S42295K,S42295K,,Yes,
"Maternal care for other specified fetal problems, first trimester, fetus 5",O368915,O368915,,Yes,
"Partial traumatic amputation at level between unspecified shoulder and elbow, initial encounter",S48129A,S48129A,,Yes,
Malignant neoplasm of unspecified part of left bronchus or lung,C3492,C3492,,Yes,
"Displaced fracture of left ulna styloid process, subsequent encounter for open fracture type I or II with nonunion",S52612M,S52612M,,Yes,
"Corrosion of unspecified degree of right shoulder, subsequent encounter",T22451D,T22451D,,Yes,
"Laceration with foreign body of right front wall of thorax with penetration into thoracic cavity, initial encounter",S21321A,S21321A,,Yes,
"Traumatic rupture of collateral ligament of left index finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",S63411D,S63411D,,Yes,
"Underdosing of antiasthmatics, subsequent encounter",T486X6D,T486X6D,,Yes,
"Toxic effect of contact with other venomous marine animals, assault, subsequent encounter",T63693D,T63693D,,Yes,
"Other complications of corneal transplant, right eye",T868481,T868481,,Yes,
"Dislocation of interphalangeal joint of left lesser toe(s), subsequent encounter",S93115D,S93115D,,Yes,
Idiopathic aseptic necrosis of unspecified toe(s),M87079,M87079,,Yes,
"Nondisplaced fracture of body of right calcaneus, subsequent encounter for fracture with delayed healing",S92014G,S92014G,,Yes,
"Displaced fracture of medial condyle of unspecified humerus, subsequent encounter for fracture with nonunion",S42463K,S42463K,,Yes,
Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction,F19181,F19181,,Yes,
"Displaced longitudinal fracture of right patella, initial encounter for open fracture type I or II",S82021B,S82021B,,Yes,
"Explosion on board passenger ship, subsequent encounter",V9351XD,V9351XD,,Yes,
"Other superficial bite of left thumb, sequela",S60372S,S60372S,,Yes,
"Pupillary abnormality, left eye",H21562,H21562,,Yes,
"Vitiligo of right eye, unspecified eyelid and periocular area",H02733,H02733,,Yes,
Right ovarian pregnancy without intrauterine pregnancy,O00201,O00201,,Yes,
"Unspecified subluxation of right patella, initial encounter",S83001A,S83001A,,Yes,
"Monocular esotropia with other noncomitancies, right eye",H50041,H50041,,Yes,
"Person injured while boarding or alighting from a 3- or 4- wheeled all-terrain vehicle (ATV), subsequent encounter",V8645XD,V8645XD,,Yes,
"Poisoning by cephalosporins and other beta-lactam antibiotics, intentional self-harm, initial encounter",T361X2A,T361X2A,,Yes,
"Asphyxiation due to smothering under pillow, undetermined, sequela",T71114S,T71114S,,Yes,
"Struck by baseball bat, subsequent encounter",W2111XD,W2111XD,,Yes,
"Laceration of unspecified muscles, fascia and tendons at forearm level, left arm, initial encounter",S56922A,S56922A,,Yes,
"Angular blepharoconjunctivitis, unspecified eye",H10529,H10529,,Yes,
"Dislocation of proximal interphalangeal joint of right middle finger, sequela",S63282S,S63282S,,Yes,
"Displaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type I or II with delayed healing",S52322H,S52322H,,Yes,
"War operations involving firearms pellets, military personnel, initial encounter",Y36420A,Y36420A,,Yes,
"Central cord syndrome at C5 level of cervical spinal cord, subsequent encounter",S14125D,S14125D,,Yes,
"Chronic postrheumatic arthropathy [Jaccoud], unspecified wrist",M12039,M12039,,Yes,
"Nondisplaced comminuted fracture of shaft of right tibia, subsequent encounter for closed fracture with routine healing",S82254D,S82254D,,Yes,
"Sector or arcuate defects, right eye",H53431,H53431,,Yes,
"Unspecified fracture of unspecified lower leg, subsequent encounter for closed fracture with nonunion",S8290XK,S8290XK,,Yes,
"Intentional self-harm by sword or dagger, sequela",X782XXS,X782XXS,,Yes,
"Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with malunion",M8008XP,M8008XP,,Yes,
"Smith's fracture of unspecified radius, initial encounter for closed fracture",S52549A,S52549A,,Yes,
"Allergic dermatitis of left eye, unspecified eyelid",H01116,H01116,,Yes,
"Displaced oblique fracture of shaft of right fibula, subsequent encounter for closed fracture with nonunion",S82431K,S82431K,,Yes,
"Other fracture of shaft of unspecified humerus, initial encounter for closed fracture",S42399A,S42399A,,Yes,
"Exposure to X-rays, sequela",W880XXS,W880XXS,,Yes,
"Pathological dislocation of right foot, not elsewhere classified",M24374,M24374,,Yes,
"Lateral subluxation of proximal end of tibia, unspecified knee, initial encounter",S83143A,S83143A,,Yes,
Other giant cell arteritis,M316,M316,,Yes,
"Subluxation of C6/C7 cervical vertebrae, sequela",S13170S,S13170S,,Yes,
"Abrasion of unspecified wrist, subsequent encounter",S60819D,S60819D,,Yes,
Retained (old) foreign body following penetrating wound of bilateral orbits,H0553,H0553,,Yes,
"Unspecified injury of bronchus, bilateral, subsequent encounter",S27402D,S27402D,,Yes,
"Pedestrian with other conveyance injured in collision with pedal cycle in nontraffic accident, sequela",V0109XS,V0109XS,,Yes,
"Fall from sled, subsequent encounter",V00221D,V00221D,,Yes,
"Brown-Sequard syndrome at C1 level of cervical spinal cord, sequela",S14141S,S14141S,,Yes,
"Acute slipped upper femoral epiphysis, unstable (nontraumatic), unspecified hip",M93043,M93043,,Yes,
"Localized swelling, mass and lump, unspecified",R229,R229,,Yes,
"Burn of third degree of back of right hand, initial encounter",T23361A,T23361A,,Yes,
"Other motorcycle driver injured in collision with unspecified motor vehicles in traffic accident, sequela",V29408S,V29408S,,Yes,
"Unspecified fracture of the lower end of unspecified radius, subsequent encounter for closed fracture with delayed healing",S52509G,S52509G,,Yes,
"Polyp of middle ear, bilateral",H7443,H7443,,Yes,
"Displaced comminuted fracture of shaft of left tibia, subsequent encounter for closed fracture with nonunion",S82252K,S82252K,,Yes,
"Calcification and ossification of muscles associated with burns, right hand",M61341,M61341,,Yes,
"Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus",G40409,G40409,,Yes,
"Unspecified injury of left Achilles tendon, subsequent encounter",S86002D,S86002D,,Yes,
"Abrasion of throat, subsequent encounter",S1011XD,S1011XD,,Yes,
Malignant neoplasm of unspecified fallopian tube,C5700,C5700,,Yes,
"Nondisplaced intertrochanteric fracture of right femur, initial encounter for open fracture type I or II",S72144B,S72144B,,Yes,
"Other mechanical complication of surgically created arteriovenous shunt, initial encounter",T82591A,T82591A,,Yes,
"Nondisplaced segmental fracture of shaft of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S72364R,S72364N,,No,
"Car occupant (driver) (passenger) injured in unspecified traffic accident, sequela",V499XXS,V499XXS,,Yes,
"Multiple fractures of pelvis with stable disruption of pelvic ring, subsequent encounter for fracture with routine healing",S32810D,S32810D,,Yes,
"Adverse effect of androgens and anabolic congeners, initial encounter",T387X5A,T387X5A,,Yes,
"Other meniscus derangements, unspecified meniscus, unspecified knee",M23309,M23309,,Yes,
"Other non-organic objects unspecified, entering into or through a natural orifice, sequela",W44G0XS,W44G0XS,,Yes,
"Occupant of railway train or railway vehicle injured due to explosion or fire on train, subsequent encounter",V8181XD,V8181XD,,Yes,
"Unspecified subluxation of right patella, initial encounter",S83001A,S83001A,,Yes,
"External constriction of right little finger, sequela",S60446S,S60446S,,Yes,
"War operations involving intentional restriction of air and airway, civilian, subsequent encounter",Y36461D,Y36461D,,Yes,
"Puncture wound without foreign body of unspecified elbow, subsequent encounter",S51039D,S51039D,,Yes,
"Poisoning by ophthalmological drugs and preparations, assault, initial encounter",T495X3A,T495X3A,,Yes,
"Terrorism involving fires, conflagration and hot substances, civilian injured, sequela",Y383X2S,Y383X2S,,Yes,
"Pathological fracture, unspecified finger(s), subsequent encounter for fracture with nonunion",M84446K,M84446K,,Yes,
"Fall into natural body of water striking water surface causing drowning and submersion, sequela",W16111S,W16111S,,Yes,
"Pressure ulcer of left upper back, unstageable",L89120,L89120,,Yes,
"Terrorism involving firearms, public safety official injured, sequela",Y384X1S,Y384X1S,,Yes,
Postprocedural seroma of a circulatory system organ or structure following a cardiac catheterization,I97640,I97640,,Yes,
Diffuse acute infarction of small intestine,K55022,K55022,,Yes,
"Unspecified injury of unspecified renal vein, initial encounter",S35406A,S35406A,,Yes,
"Cerebral anoxia due to anesthesia during pregnancy, unspecified trimester",O29219,O29219,,Yes,
"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of axilla and upper limb",C8134,C8134,,Yes,
Cerebral infarction due to embolism of bilateral carotid arteries,I63133,I63133,,Yes,
Unspecified disorder of choroid,H319,H319,,Yes,
Exostosis of left orbit,H05352,H05352,,Yes,
Complications of attempted introduction of embryo in embryo transfer,N983,N983,,Yes,
"Other nondisplaced fracture of seventh cervical vertebra, initial encounter for open fracture",S12691B,S12691B,,Yes,
"Open bite of abdominal wall, epigastric region with penetration into peritoneal cavity, sequela",S31652S,S31652S,,Yes,
"Contusion of scalp, subsequent encounter",S0003XD,S0003XD,,Yes,
"Disorder of white blood cells, unspecified",D729,D729,,Yes,
"Nondisplaced oblique fracture of shaft of right tibia, subsequent encounter for closed fracture with routine healing",S82234D,S82234D,,Yes,
"Laceration of anterior tibial artery, left leg, initial encounter",S85142A,S85142A,,Yes,
Other chronic viral hepatitis,B188,B188,,Yes,
"Contusion of left lower leg, initial encounter",S8012XA,S8012XA,,Yes,
Leukoplakia of vagina,N894,N894,,Yes,
"Infection of amniotic sac and membranes, unspecified, first trimester, fetus 2",O411012,O411012,,Yes,
"Drowning and submersion due to fall off unspecified watercraft, initial encounter",V9209XA,V9209XA,,Yes,
"Poisoning by expectorants, intentional self-harm, subsequent encounter",T484X2D,T484X2D,,Yes,
Hypoesthesia of skin,R201,R201,,Yes,
"Posterior synechiae (iris), unspecified eye",H21549,H21549,,Yes,
"Contusion of left little finger without damage to nail, sequela",S60052S,S60052S,,Yes,
Unspecified acquired deformity of unspecified thigh,M21959,M21959,,Yes,
Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting unspecified side,I69169,I69169,,Yes,
"Unspecified injury of left kidney, initial encounter",S37002A,S37002A,,Yes,
"Nondisplaced unspecified fracture of unspecified great toe, subsequent encounter for fracture with malunion",S92406P,S92406P,,Yes,
Newborn affected by (positive) maternal group B streptococcus (GBS) colonization,P0082,P0082,,Yes,
"External constriction of right middle finger, subsequent encounter",S60442D,S60442D,,Yes,
"Unspecified complication of internal prosthetic device, implant and graft, sequela",T859XXS,T859XXS,,Yes,
"Contusion of unspecified great toe with damage to nail, sequela",S90219S,S90219S,,Yes,
"Injury of radial nerve at upper arm level, unspecified arm, initial encounter",S4420XA,S4420XA,,Yes,
"Abrasion of right back wall of thorax, sequela",S20411S,S20411S,,Yes,
Acquired absence of right foot,Z89431,Z89431,,Yes,
Occipital neuralgia,M5481,M5481,,Yes,
"Complete loss of teeth, unspecified cause, class I",K08101,K08101,,Yes,
"Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52363N,S52363N,,Yes,
"Burn of third degree of forehead and cheek, subsequent encounter",T2036XD,T2036XD,,Yes,
Unspecified type of carcinoma in situ of unspecified breast,D0590,D0590,,Yes,
"Nondisplaced spiral fracture of shaft of right femur, sequela",S72344S,S72344S,,Yes,
"Psychological abuse complicating pregnancy, third trimester",O9A513,O9A513,,Yes,
"Displaced intertrochanteric fracture of unspecified femur, subsequent encounter for open fracture type I or II with routine healing",S72143E,S72143E,,Yes,
"Subluxation of interphalangeal joint of left lesser toe(s), sequela",S93135S,S93135S,,Yes,
"Military operations involving combat using blunt or piercing object, military personnel, initial encounter",Y37450A,Y37450A,,Yes,
"Open bite of left ring finger without damage to nail, sequela",S61255S,S61255S,,Yes,
"Non-Hodgkin lymphoma, unspecified, extranodal and solid organ sites",C8599,C8599,,Yes,
"Laceration with foreign body of left middle finger with damage to nail, initial encounter",S61323A,S61323A,,Yes,
"Supervision of pregnancy with history of in utero procedure during previous pregnancy, third trimester",O09823,O09823,,Yes,
"Unspecified physeal fracture of left metatarsal, initial encounter for open fracture",S99102B,S99102B,,Yes,
"Newborn small for gestational age, other",P0519,P0519,,Yes,
"Displaced fracture of cuboid bone of unspecified foot, sequela",S92213S,S92213S,,Yes,
"Primary optic atrophy, right eye",H47211,H47211,,Yes,
"Laceration of muscle and tendon of long extensor muscle of toe at ankle and foot level, unspecified foot, initial encounter",S96129A,S96129A,,Yes,
"Postimmunization arthropathy, left ankle and foot",M02272,M02272,,Yes,
"Displaced fracture of medial condyle of left femur, subsequent encounter for open fracture type I or II with nonunion",S72432M,S72432M,,Yes,
"Legal intervention involving unspecified gas, unspecified person injured, initial encounter",Y35209A,Y35209A,,Yes,
"Other secondary gout, unspecified wrist",M10439,M10439,,Yes,
"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",E113559,E113559,,Yes,
"Crushing injury of right knee, initial encounter",S8701XA,S8701XA,,Yes,
"Chronic gout due to renal impairment, unspecified ankle and foot, with tophus (tophi)",M1A3791,M1A3791,,Yes,
Monoplegia of upper limb affecting right dominant side,G8321,G8321,,Yes,
"Poisoning by emollients, demulcents and protectants, accidental (unintentional), subsequent encounter",T493X1D,T493X1D,,Yes,
"Laceration with foreign body, unspecified hip, sequela",S71029S,S71029S,,Yes,
"Type III occipital condyle fracture, unspecified side, subsequent encounter for fracture with delayed healing",S02112G,S02112G,,Yes,
"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, fetus 1",O3110X1,O3110X9,,No,
"Contact with dry ice, subsequent encounter",W9301XD,W9301XD,,Yes,
"Displaced fracture of neck of third metacarpal bone, left hand, subsequent encounter for fracture with routine healing",S62333D,S62333D,,Yes,
Right upper quadrant abdominal tenderness,R10811,R10811,,Yes,
"Chronic kidney disease, stage 1",N181,N181,,Yes,
"Unspecified fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with nonunion",S82409M,S82409M,,Yes,
"External constriction of left index finger, initial encounter",S60441A,S60441A,,Yes,
"Occupant of streetcar injured in unspecified traffic accident, sequela",V829XXS,V829XXS,,Yes,
"Lead-induced chronic gout, unspecified site, without tophus (tophi)",M1A10X0,M1A10X0,,Yes,
"Displacement of cranial or spinal infusion catheter, initial encounter",T85620A,T85620A,,Yes,
