Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Burn of third degree of unspecified ear [any part, except ear drum], sequela",T20319S,T20319S,,Yes,
"Miscellaneous anesthesiology devices associated with adverse incidents, not elsewhere classified",Y708,Y708,,Yes,
Malignant neoplasm of unspecified part of unspecified adrenal gland,C7490,C7490,,Yes,
"Nondisplaced fracture of middle phalanx of left lesser toe(s), subsequent encounter for fracture with malunion",S92525P,S92525P,,Yes,
"Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52362F,S52362F,,Yes,
"Car passenger injured in collision with heavy transport vehicle or bus in traffic accident, sequela",V446XXS,V446XXS,,Yes,
"Excessive crying of child, adolescent or adult",R4583,R4583,,Yes,
"Tularemia, unspecified",A219,A219,,Yes,
"Person boarding or alighting a pedal cycle injured in collision with other pedal cycle, subsequent encounter",V113XXD,V113XXD,,Yes,
"Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",S06328A,S06328A,,Yes,
"Nondisplaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with malunion",S52366P,S52366P,,Yes,
"Unspecified accident to commercial fixed-wing aircraft injuring occupant, initial encounter",V9530XA,V9530XA,,Yes,
"Other specified dorsopathies, cervical region",M5382,M5382,,Yes,
"Injury of unspecified iliac blood vessel(s), initial encounter",S3550XA,S3550XA,,Yes,
"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations",F16951,F16951,,Yes,
"Placentitis, first trimester, fetus 2",O411412,O411412,,Yes,
Carcinoma in situ of skin of left ear and external auricular canal,D0422,D0422,,Yes,
"External constriction, left knee, subsequent encounter",S80242D,S80242D,,Yes,
"Other fracture of second metacarpal bone, right hand, sequela",S62390S,S62390S,,Yes,
"Injury of olfactory [1st ] nerve, left side, sequela",S04812S,S04812S,,Yes,
Other toxic encephalopathy,G928,G928,,Yes,
"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip",C4920,C4920,,Yes,
"Nondisplaced intraarticular fracture of left calcaneus, initial encounter for closed fracture",S92065A,S92065A,,Yes,
"Unspecified fracture of right femur, sequela",S7291XS,S7291XS,,Yes,
"Circadian rhythm sleep disorder, delayed sleep phase type",G4721,G4721,,Yes,
"Unspecified injury of right vertebral artery, sequela",S15101S,S15101S,,Yes,
"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with nonunion",S82874M,S82874M,,Yes,
"Toxic effect of unspecified pesticide, undetermined, sequela",T6094XS,T6094XS,,Yes,
"Periprosthetic fracture around internal prosthetic left knee joint, subsequent encounter",M9712XD,M9712XD,,Yes,
"Crushing injury of unspecified finger(s), sequela",S6710XS,S6710XS,,Yes,
"Posterior dislocation of unspecified humerus, sequela",S43026S,S43026S,,Yes,
"Recurrent pterygium of eye, bilateral",H11063,H11063,,Yes,
"Unspecified fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with malunion",S82402Q,S82402Q,,Yes,
"Air embolism in pregnancy, unspecified trimester",O88019,O88019,,Yes,
"Nondisplaced transverse fracture of shaft of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S82224R,S82224R,,Yes,
Rheumatoid lung disease with rheumatoid arthritis of left hand,M05142,M05142,,Yes,
"Other motorcycle driver injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter",V2009XD,V2009XD,,Yes,
Non-pressure chronic ulcer of left ankle with muscle involvement without evidence of necrosis,L97325,L97325,,Yes,
"Macular corneal dystrophy, left eye",H18552,H18552,,Yes,
"Displaced fracture of shaft of fifth metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S62326G,S62326G,,Yes,
"Unspecified fracture of shaft of humerus, unspecified arm, sequela",S42309S,S42301S,,No,
Postthrombotic syndrome with other complications of unspecified lower extremity,I87099,I87099,,Yes,
Disproportion of reconstructed breast,N651,N651,,Yes,
"Unspecified retained (old) intraocular foreign body, nonmagnetic, right eye",H44701,H44701,,Yes,
"Unspecified occupant of bus injured in noncollision transport accident in traffic accident, sequela",V789XXS,V789XXS,,Yes,
Chronic anal fissure,K601,K601,,Yes,
Other specified erythematous conditions,L538,L538,,Yes,
"Laceration without foreign body of other finger without damage to nail, initial encounter",S61218A,S61218A,,Yes,
"Exposure to other nonionizing radiation, sequela",W908XXS,W908XXS,,Yes,
"Displaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type I or II with malunion",S52322Q,S52322Q,,Yes,
"Unspecified disorder of synovium and tendon, unspecified hand",M67949,M67949,,Yes,
Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of heel and midfoot,I70344,I70344,,Yes,
"Poisoning by expectorants, accidental (unintentional), subsequent encounter",T484X1D,T484X1D,,Yes,
"Food in pharynx causing other injury, initial encounter",T17228A,T17228A,,Yes,
"Other physeal fracture of lower end of right fibula, subsequent encounter for fracture with delayed healing",S89391G,S89391G,,Yes,
"Surgical instruments, materials and general hospital and personal-use devices (including sutures) associated with adverse incidents",Y743,Y743,,Yes,
"Contusion of left ankle, initial encounter",S9002XA,S9002XA,,Yes,
Triploidy and polyploidy,Q927,Q927,,Yes,
"Other injury of extensor muscle, fascia and tendon of other finger at wrist and hand level, sequela",S66398S,S66398S,,Yes,
"Legal intervention involving injury by explosive shell, law enforcement official injured, initial encounter",Y35121A,Y35121A,,Yes,
Multiple papillomata and wet crab yaws,A661,A661,,Yes,
"Nondisplaced fracture of medial condyle of left humerus, subsequent encounter for fracture with routine healing",S42465D,S42465D,,Yes,
"Other injury of muscle, fascia and tendon of pelvis, sequela",S39093S,S39093S,,Yes,
"Nondisplaced fracture of lunate [semilunar], unspecified wrist, sequela",S62126S,S62126S,,Yes,
"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S72011J,S72011J,,Yes,
"Palindromic rheumatism, unspecified elbow",M12329,M12329,,Yes,
"Toxic effect of venom of wasps, undetermined, subsequent encounter",T63464D,T63464D,,Yes,
"Otitis media in diseases classified elsewhere, right ear",H671,H671,,Yes,
Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder,F1916,F1916,,Yes,
"Fatigue fracture of vertebra, cervicothoracic region, initial encounter for fracture",M4843XA,M4843XA,,Yes,
Benign lipomatous neoplasm of other sites,D1779,D1779,,Yes,
"Unspecified pedal cyclist injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter",V162XXA,V162XXA,,Yes,
"Obstructed labor due to malposition and malpresentation, unspecified, fetus 2",O649XX2,O649XX2,,Yes,
Other specified acantholytic disorders,L118,L118,,Yes,
"Explosion and rupture of other pressurized tire, pipe or hose, sequela",W378XXS,W378XXS,,Yes,
"Passenger in heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter",V626XXD,V626XXD,,Yes,
"Corrosion of second degree of right ear [any part, except ear drum], sequela",T20611S,T20611S,,Yes,
Tracheobronchial hemorrhage originating in the perinatal period,P260,P260,,Yes,
"Other fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S82491J,S82491J,,Yes,
Coloboma of lens,Q122,Q122,,Yes,
Cyanotic attacks of newborn,P282,P282,,Yes,
"Poisoning by antitussives, intentional self-harm, subsequent encounter",T483X2D,T483X2D,,Yes,
"Maternal care for other (suspected) fetal abnormality and damage, fetal cardiac anomalies, fetus 5",O35BXX5,O35BXX5,,Yes,
Other benign neoplasm of skin of unspecified ear and external auricular canal,D2320,D2320,,Yes,
Vitamin A deficiency with corneal ulceration and xerosis,E503,E503,,Yes,
Subacute cough,R052,R052,,Yes,
"Fracture of unspecified phalanx of left little finger, subsequent encounter for fracture with malunion",S62607P,S62607P,,Yes,
"Other specified injury of posterior tibial artery, right leg, initial encounter",S85181A,S85181A,,Yes,
"Other fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S82092J,S82092J,,Yes,
"Displaced subtrochanteric fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S7221XN,S7221XN,,Yes,
"Unspecified injury of right shoulder and upper arm, sequela",S4991XS,S4991XS,,Yes,
"Glaucoma secondary to eye inflammation, right eye, mild stage",H4041X1,H4041X1,,Yes,
"Obstruction due to foreign body accidentally left in body following infusion or transfusion, initial encounter",T81521A,T81521A,,Yes,
Loose body in left ankle,M24072,M24072,,Yes,
"Nondisplaced segmental fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with malunion",S82466P,S82466P,,Yes,
Crohn's disease of small intestine with fistula,K50013,K50013,,Yes,
"Unspecified subluxation of unspecified sternoclavicular joint, initial encounter",S43203A,S43203A,,Yes,
"Other physeal fracture of lower end of ulna, right arm, subsequent encounter for fracture with delayed healing",S59091G,S59091G,,Yes,
"Complete loss of teeth due to other specified cause, class IV",K08194,K08194,,Yes,
"Other specified injury of right innominate or subclavian artery, sequela",S25191S,S25191S,,Yes,
"Other chronic osteomyelitis, unspecified hand",M86649,M86649,,Yes,
"Laceration of muscle and tendon of long flexor muscle of toe at ankle and foot level, left foot, subsequent encounter",S96022D,S96022D,,Yes,
Malignant neoplasm of overlapping sites of cervix uteri,C538,C538,,Yes,
"Corrosion of third degree of unspecified foot, sequela",T25729S,T25729S,,Yes,
Neonatal withdrawal symptoms from maternal use of drugs of addiction,P961,P961,,Yes,
Secondary malignant neoplasm of unspecified digestive organ,C7880,C7880,,Yes,
Encounter for allergy testing,Z0182,Z0182,,Yes,
"Alcohol use, unspecified with other alcohol-induced disorder",F10988,F10988,,Yes,
"Laceration of ulnar artery at wrist and hand level of right arm, sequela",S65011S,S65011S,,Yes,
"Car driver injured in collision with van in traffic accident, initial encounter",V4354XA,V4354XA,,Yes,
"Dislocation of other carpometacarpal joint of left hand, initial encounter",S63055A,S63055A,,Yes,
"Unspecified occupant of pick-up truck or van injured in collision with other motor vehicles in traffic accident, subsequent encounter",V5969XD,V5969XD,,Yes,
"Other physeal fracture of upper end of left tibia, subsequent encounter for fracture with nonunion",S89092K,S89092K,,Yes,
"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",E133392,E133392,,Yes,
"Complete traumatic amputation of left foot at ankle level, initial encounter",S98012A,S98012A,,Yes,
"Hit or struck by falling object due to accident to other unpowered watercraft, sequela",V9138XS,V9138XS,,Yes,
"Exudative cyst of pars plana, left eye",H21352,H21352,,Yes,
"Pedal cycle passenger injured in collision with other motor vehicles in traffic accident, initial encounter",V1959XA,V1959XA,,Yes,
Achalasia of cardia,K220,K220,,Yes,
"Toxic effect of other specified noxious substances eaten as food, undetermined, initial encounter",T628X4A,T628X4A,,Yes,
Other X-linked adrenoleukodystrophy,E71528,E71528,,Yes,
Intraoperative cerebrovascular infarction during other surgery,I97811,I97811,,Yes,
"Nondisplaced supracondylar fracture without intracondylar extension of lower end of right femur, initial encounter for closed fracture",S72454A,S72454A,,Yes,
"Salter-Harris Type IV physeal fracture of unspecified metatarsal, subsequent encounter for fracture with routine healing",S99149D,S99149D,,Yes,
"Subluxation of distal interphalangeal joint of right ring finger, sequela",S63244S,S63244S,,Yes,
"Unspecified fracture of right lower leg, initial encounter for open fracture type I or II",S8291XB,S8291XB,,Yes,
"Primary osteoarthritis, unspecified ankle and foot",M19079,M19079,,Yes,
"Child forced labor exploitation, confirmed, initial encounter",T7462XA,T7462XA,,Yes,
"Gastro-esophageal reflux disease with esophagitis, with bleeding",K2101,K2101,,Yes,
"Bucket-handle tear of medial meniscus, current injury, left knee, subsequent encounter",S83212D,S83212D,,Yes,
"Poisoning by other hormone antagonists, undetermined, subsequent encounter",T38994D,T38994D,,Yes,
"Other sprain of left elbow, subsequent encounter",S53492D,S53492D,,Yes,
"Poisoning by diagnostic agents, accidental (unintentional), initial encounter",T508X1A,T508X1A,,Yes,
"Villonodular synovitis (pigmented), multiple sites",M1229,M1229,,Yes,
"Corrosion of third degree of right ankle, sequela",T25711S,T25711S,,Yes,
"Passenger injured in collision with other motor vehicles in traffic accident, subsequent encounter",V4959XD,V4959XD,,Yes,
"Unspecified injury of inferior mesenteric vein, initial encounter",S35349A,S35349A,,Yes,
"Laceration without foreign body of other specified part of neck, subsequent encounter",S1181XD,S1181XD,,Yes,
"Stress fracture, left radius, subsequent encounter for fracture with routine healing",M84334D,M84334D,,Yes,
"Other bursitis, not elsewhere classified, left knee",M71562,M71562,,Yes,
"Displaced fracture of lateral condyle of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S72422N,S72422N,,Yes,
"Car driver injured in collision with pedal cycle in nontraffic accident, sequela",V410XXS,V410XXS,,Yes,
"Contusion of right shoulder, sequela",S40011S,S40011S,,Yes,
"Complete loss of teeth due to caries, unspecified class",K08139,K08139,,Yes,
"Unspecified laceration of spleen, initial encounter",S36039A,S36039A,,Yes,
"Acute hematogenous osteomyelitis, right humerus",M86021,M86021,,Yes,
"Other specified injury of axillary or brachial vein, right side, sequela",S45291S,S45291S,,Yes,
"Unspecified fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S52301R,S52301R,,Yes,
"Displaced fracture of anterior column [iliopubic] of left acetabulum, initial encounter for open fracture",S32432B,S32432B,,Yes,
"Exposure to electric transmission lines, subsequent encounter",W85XXXD,W85XXXD,,Yes,
"Laceration of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, left leg, subsequent encounter",S86322D,S86322D,,Yes,
"Displaced fracture of lateral malleolus of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S8262XR,S8262XR,,Yes,
"Tidal wave due to storm, initial encounter",X3742XA,X3742XA,,Yes,
"Non-follicular (diffuse) lymphoma, unspecified, intrapelvic lymph nodes",C8396,C8396,,Yes,
"Poisoning by mineralocorticoids and their antagonists, undetermined, initial encounter",T500X4A,T500X4A,,Yes,
"Anterior displaced Type II dens fracture, sequela",S12110S,S12110S,,Yes,
"Burn of second degree of other site of trunk, subsequent encounter",T2129XD,T2129XD,,Yes,
"Other disorders of bone development and growth, left ulna",M89232,M89232,,Yes,
Other osteonecrosis of left carpus,M87838,M87838,,Yes,
"Fracture of unspecified part of neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S72009F,S72009F,,Yes,
Angiostrongyliasis due to Parastrongylus cantonensis,B832,B832,,Yes,
Other cerebrovascular disease,I6789,I6789,,Yes,
Other cerebral infarction,I6389,I6389,,Yes,
"Central corneal opacity, bilateral",H1713,H1713,,Yes,
"Dislocation of C0/C1 cervical vertebrae, initial encounter",S13111A,S13111A,,Yes,
"Unspecified fracture of unspecified ischium, subsequent encounter for fracture with nonunion",S32609K,S32609K,,Yes,
"Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, initial encounter",T43502A,T43502A,,Yes,
"Pathological fracture in other disease, unspecified humerus, subsequent encounter for fracture with malunion",M84629P,M84629P,,Yes,
"Dislocation of left acromioclavicular joint, greater than 200% displacement, initial encounter",S43132A,S43132A,,Yes,
Other vomiting complicating pregnancy,O218,O218,,Yes,
"Fall into other water striking wall causing drowning and submersion, subsequent encounter",W16331D,W16331D,,Yes,
"Unspecified injury of muscle, fascia and tendon of other parts of biceps, right arm, initial encounter",S46201A,S46201A,,Yes,
"Unspecified pedal cyclist injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter",V162XXD,V162XXD,,Yes,
Mumps encephalitis,B262,B262,,Yes,
"Unspecified sprain of left foot, sequela",S93602S,S93602S,,Yes,
"Behavioral insomnia of childhood, unspecified type",Z73819,Z73819,,Yes,
"Poisoning by unspecified agents primarily acting on the respiratory system, assault, initial encounter",T48903A,T48903A,,Yes,
"Exposure to tanning bed, subsequent encounter",W891XXD,W891XXD,,Yes,
"Other bursitis, not elsewhere classified, right wrist",M71531,M71531,,Yes,
"Osteopathy after poliomyelitis, unspecified hand",M89649,M89649,,Yes,
"Diffuse large B-cell lymphoma, lymph nodes of axilla and upper limb",C8334,C8334,,Yes,
"Ocular laceration without prolapse or loss of intraocular tissue, right eye, sequela",S0531XS,S0531XS,,Yes,
"Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration, initial encounter",S06349A,S06349A,,Yes,
"Underdosing of antipruritics, subsequent encounter",T491X6D,T491X6D,,Yes,
"Retinal vasculitis, left eye",H35062,H35062,,Yes,
NIHSS score 27,R29727,R29727,,Yes,
"Fracture of femur following insertion of orthopedic implant, joint prosthesis, or bone plate, unspecified leg",M96669,M96669,,Yes,
"Maternal care for (suspected) damage to fetus by other medical procedures, fetus 2",O357XX2,O357XX2,,Yes,
"Age-related osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with routine healing",M80019D,M80019D,,Yes,
Phlebitis and thrombophlebitis of other deep vessels of left lower extremity,I80292,I80292,,Yes,
"Dislocation of metacarpal (bone), proximal end of right hand, initial encounter",S63064A,S63064A,,Yes,
"Unspecified displaced fracture of surgical neck of right humerus, subsequent encounter for fracture with routine healing",S42211D,S42211D,,Yes,
Malfunction of incontinent external stoma of urinary tract,N99522,N99522,,Yes,
"Unspecified sprain of left shoulder joint, initial encounter",S43402A,S43402A,,Yes,
"Other motorcycle passenger injured in collision with fixed or stationary object in traffic accident, sequela",V2759XS,V2759XS,,Yes,
Inappropriate temperature in local application and packing,Y635,Y635,,Yes,
Other specified acute viral hepatitis,B178,B178,,Yes,
Acute lymphangitis of left upper limb,L03124,L03124,,Yes,
"Contusion of right index finger with damage to nail, subsequent encounter",S60121D,S60121D,,Yes,
"Other specified injury of radial artery at wrist and hand level of unspecified arm, sequela",S65199S,S65199S,,Yes,
"Accidental discharge of shotgun, sequela",W3301XS,W3301XS,,Yes,
Injury of scalp of newborn due to monitoring equipment,P124,P124,,Yes,
"Drug-induced chronic gout, unspecified hand, with tophus (tophi)",M1A2491,M1A2491,,Yes,
"Other secondary chronic gout, right shoulder, without tophus (tophi)",M1A4110,M1A4110,,Yes,
"Pathological fracture in other disease, unspecified site, initial encounter for fracture",M8460XA,M8460XA,,Yes,
Occlusion and stenosis of left carotid artery,I6522,I6522,,Yes,
"Acute lymphangitis of head [any part, except face]",L03891,L03891,,Yes,
"Other mechanical complication of femoral arterial graft (bypass), sequela",T82392S,T82392S,,Yes,
"Brown-Sequard syndrome at T7-T10 level of thoracic spinal cord, initial encounter",S24143A,S24143A,,Yes,
"Laceration of muscle, fascia and tendon of the posterior muscle group at thigh level, right thigh, initial encounter",S76321A,S76321A,,Yes,
"Pathological fracture, left ulna, subsequent encounter for fracture with malunion",M84432P,M84432P,,Yes,
"Displaced transverse fracture of shaft of right femur, subsequent encounter for closed fracture with routine healing",S72321D,S72321D,,Yes,
"Unspecified fracture of T5-T6 vertebra, initial encounter for closed fracture",S22059A,S22059A,,Yes,
Anorectal fistula,K605,K605,,Yes,
"Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for open fracture type I or II with nonunion",S52252M,S52252M,,Yes,
"Nondisplaced fracture of medial cuneiform of right foot, sequela",S92244S,S92244S,,Yes,
"Non-in-line roller-skater colliding with stationary object, subsequent encounter",V00122D,V00122D,,Yes,
Allergic contact dermatitis due to adhesives,L231,L231,,Yes,
"Intestinal helminthiasis, unspecified",B820,B820,,Yes,
"Unspecified focal traumatic brain injury with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",S06308A,S06308A,,Yes,
"Injury of cutaneous sensory nerve at lower leg level, left leg, initial encounter",S8422XA,S8422XA,,Yes,
"Other articular cartilage disorders, unspecified hip",M24159,M24159,,Yes,
"Other injury of unspecified part of pancreas, sequela",S36299S,S36299S,,Yes,
"Nondisplaced fracture of lesser tuberosity of unspecified humerus, subsequent encounter for fracture with nonunion",S42266K,S42266K,,Yes,
"Other recurrent vertebral dislocation, lumbosacral region",M435X7,M435X7,,Yes,
"Displaced spiral fracture of shaft of radius, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52343C,S52343C,,Yes,
Chlamydial infection of anus and rectum,A563,A563,,Yes,
"Other mechanical complication of internal left knee prosthesis, initial encounter",T84093A,T84093A,,Yes,
"Drowning and submersion due to merchant ship overturning, subsequent encounter",V9000XD,V9000XD,,Yes,
Child and adolescent antisocial behavior,Z72810,Z72810,,Yes,
"Dementia in other diseases classified elsewhere, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F02A0,F02A0,,Yes,
Ulcer of penis,N485,N485,,Yes,
"Puncture wound without foreign body of left lesser toe(s) without damage to nail, sequela",S91135S,S91135S,,Yes,
"Acute lymphadenitis, unspecified",L049,L049,,Yes,
"Open bite of left little finger with damage to nail, sequela",S61357S,S61357S,,Yes,
"Nondisplaced fracture of shaft of second metacarpal bone, right hand, subsequent encounter for fracture with delayed healing",S62350G,S62350G,,Yes,
Other mosquito-borne viral encephalitis,A838,A838,,Yes,
"Extreme immaturity of newborn, gestational age 23 completed weeks",P0722,P0722,,Yes,
"Nondisplaced longitudinal fracture of left patella, subsequent encounter for closed fracture with nonunion",S82025K,S82025K,,Yes,
"Military operations involving explosion of guided missile, civilian, initial encounter",Y37221A,Y37221A,,Yes,
"Maternal care for disproportion due to outlet contraction of pelvis, fetus 4",O333XX4,O333XX4,,Yes,
"Fracture of bony thorax, part unspecified, subsequent encounter for fracture with routine healing",S229XXD,S229XXD,,Yes,
Other vascular myelopathies,G9519,G9519,,Yes,
"Dislocation of distal interphalangeal joint of left ring finger, initial encounter",S63295A,S63295A,,Yes,
"Hemiplegic migraine, intractable, with status migrainosus",G43411,G43411,,Yes,
"Burn of third degree of left toe(s) (nail), initial encounter",T25332A,T25332A,,Yes,
"Trigger finger, right little finger",M65351,M65351,,Yes,
"Nondisplaced bicondylar fracture of right tibia, subsequent encounter for closed fracture with delayed healing",S82144G,S82144G,,Yes,
"Displaced fracture of right radial styloid process, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S52511J,S52511J,,Yes,
"Adverse effect of antiparkinsonism drugs and other central muscle-tone depressants, sequela",T428X5S,T428X5S,,Yes,
"Displaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52322F,S52322F,,Yes,
"Incarcerated fracture (avulsion) of medial epicondyle of right humerus, subsequent encounter for fracture with nonunion",S42447K,S42447K,,Yes,
"Unspecified subluxation of left shoulder joint, subsequent encounter",S43002D,S43002D,,Yes,
"Blister (nonthermal) of unspecified ear, initial encounter",S00429A,S00429A,,Yes,
"Blister (nonthermal), right foot, initial encounter",S90821A,S90821A,,Yes,
"Liver and biliary tract disorders in pregnancy, first trimester",O26611,O26611,,Yes,
"Nondisplaced oblique fracture of shaft of left femur, sequela",S72335S,S72335S,,Yes,
"Displaced fracture of head of right radius, subsequent encounter for open fracture type I or II with delayed healing",S52121H,S52121H,,Yes,
"Displaced comminuted fracture of shaft of left femur, subsequent encounter for open fracture type I or II with routine healing",S72352E,S72352E,,Yes,
Other interstitial pulmonary diseases with fibrosis in diseases classified elsewhere,J84178,J84178,,Yes,
Accidental puncture and laceration of left eye and adnexa during an ophthalmic procedure,H59212,H59212,,Yes,
"Injury of unspecified nerve at hip and thigh level, left leg, subsequent encounter",S7492XD,S7492XD,,Yes,
"Displaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S82851R,S82851R,,Yes,
"Nondisplaced comminuted fracture of shaft of unspecified femur, sequela",S72356S,S72356S,,Yes,
"Melioidosis, unspecified",A249,A249,,Yes,
"Person on outside of dirt bike or motor/cross bike injured in traffic accident, sequela",V8626XS,V8626XS,,Yes,
Chronic lymphocytic leukemia of B-cell type in relapse,C9112,C9112,,Yes,
"Unspecified open wound of other part of head, initial encounter",S0180XA,S0180XA,,Yes,
