Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Occupant of animal-drawn vehicle injured in collision with animal being ridden, sequela",V80711S,V80711S,,Yes,
"Pathological fracture in other disease, right shoulder, subsequent encounter for fracture with routine healing",M84611D,M84611D,,Yes,
"War operations involving explosion of improvised explosive device [IED], military personnel, initial encounter",Y36230A,Y36230A,,Yes,
"Passenger of ambulance or fire engine injured in nontraffic accident, subsequent encounter",V8661XD,V8661XD,,Yes,
"Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for open fracture type I or II with routine healing",S52252E,S52252E,,Yes,
"Human immunodeficiency virus [HIV] disease complicating pregnancy, unspecified trimester",O98719,O98719,,Yes,
"Displaced unspecified condyle fracture of lower end of unspecified femur, initial encounter for closed fracture",S72413A,S72413A,,Yes,
"Maternal care for disproportion due to hydrocephalic fetus, other fetus",O336XX9,O336XX9,,Yes,
"Activity, other involving cardiorespiratory exercise",Y93A9,Y93A9,,Yes,
"Other motorcycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter",V2409XD,V2409XD,,Yes,
"Poisoning by thyroid hormones and substitutes, undetermined, subsequent encounter",T381X4D,T381X4D,,Yes,
"Other extraarticular fracture of lower end of left radius, subsequent encounter for closed fracture with routine healing",S52552D,S52552D,,Yes,
"Maxillary fracture, left side, subsequent encounter for fracture with delayed healing",S0240DG,S0240DG,,Yes,
Other osteonecrosis of right carpus,M87837,M87837,,Yes,
"Anterior subluxation of right humerus, subsequent encounter",S43011D,S43011D,,Yes,
"Unspecified injury of body of pancreas, initial encounter",S36201A,S36201A,,Yes,
Secondary malignant neoplasm of unspecified urinary organs,C7910,C7910,,Yes,
Other birth injuries to scalp,P1289,P1289,,Yes,
"Capsular glaucoma with pseudoexfoliation of lens, right eye, mild stage",H401411,H401411,,Yes,
"Unspecified focal traumatic brain injury with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",S06303A,S06303A,,Yes,
"Other injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, right leg, initial encounter",S86391A,S86391A,,Yes,
"Maternal care for breech presentation, fetus 4",O321XX4,O321XX4,,Yes,
"Pathological fracture in other disease, right hand, sequela",M84641S,M84641S,,Yes,
"Rheumatoid arthritis without rheumatoid factor, other specified site",M060A,M060A,,Yes,
"Contusion of unspecified back wall of thorax, initial encounter",S20229A,S20229A,,Yes,
"Other specified dorsopathies, cervical region",M5382,M5382,,Yes,
"Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 4",O418X94,O418X94,,Yes,
"Nondisplaced transverse fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S82425J,S82425J,,Yes,
"Salter-Harris Type I physeal fracture of lower end of left femur, subsequent encounter for fracture with routine healing",S79112D,S79112D,,Yes,
"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with malunion",M84752P,M84752P,,Yes,
"Retinal artery branch occlusion, right eye",H34231,H34231,,Yes,
"Other specified injuries of left shoulder and upper arm, subsequent encounter",S4982XD,S4982XD,,Yes,
"Infection and inflammatory reaction due to internal fixation device of right humerus, sequela",T84610S,T84610S,,Yes,
"Osteonecrosis due to drugs, unspecified femur",M87159,M87159,,Yes,
"Aneurysmal bone cyst, right hand",M85541,M85541,,Yes,
Newborn affected by maternal nutritional disorders,P004,P004,,Yes,
Non-pressure chronic ulcer of left calf with bone involvement without evidence of necrosis,L97226,L97226,,Yes,
"Driver of heavy transport vehicle injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter",V6900XD,V6900XD,,Yes,
"External constriction, right knee, initial encounter",S80241A,S80241A,,Yes,
"Nondisplaced fracture of body of scapula, left shoulder, subsequent encounter for fracture with malunion",S42115P,S42115P,,Yes,
"Unspecified injury of unspecified blood vessel at wrist and hand level of right arm, initial encounter",S65901A,S65901A,,Yes,
"Unspecified injury of esophagus (thoracic part), sequela",S27819S,S27819S,,Yes,
"Toxic effect of dichloromethane, intentional self-harm, subsequent encounter",T534X2D,T534X2D,,Yes,
"Other fracture of head and neck of right femur, subsequent encounter for closed fracture with delayed healing",S72091G,S72091G,,Yes,
"Nicotine dependence, chewing tobacco, uncomplicated",F17220,F17220,,Yes,
"Poisoning by digestants, assault, initial encounter",T475X3A,T475X3A,,Yes,
"Medial epicondylitis, right elbow",M7701,M7701,,Yes,
"Puncture wound with foreign body of unspecified lesser toe(s) with damage to nail, subsequent encounter",S91246D,S91246D,,Yes,
"Unspecified fracture of shaft of left femur, subsequent encounter for closed fracture with nonunion",S72302K,S72302K,,Yes,
"Osteophyte, right hand",M25741,M25741,,Yes,
"Unspecified occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in nontraffic accident, sequela",V363XXS,V363XXS,,Yes,
"Nodular episcleritis, unspecified eye",H15129,H15129,,Yes,
"Unspecified injury of left eye and orbit, subsequent encounter",S0592XD,S0592XD,,Yes,
"Toxic effect of unspecified snake venom, assault, subsequent encounter",T63003D,T63003D,,Yes,
35 weeks gestation of pregnancy,Z3A35,Z3A35,,Yes,
"Traumatic hemorrhage of cerebrum, unspecified, without loss of consciousness, sequela",S06360S,S06360S,,Yes,
"Nondisplaced transverse fracture of shaft of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S82224J,S82224J,,Yes,
"Rupture of synovium, other site",M6618,M6618,,Yes,
"Other specified injury of blood vessel of unspecified finger, initial encounter",S65599A,S65599A,,Yes,
"Acute slipped upper femoral epiphysis, stable (nontraumatic), unspecified hip",M93013,M93013,,Yes,
"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter",V0401XA,V0401XA,,Yes,
"Struck by other hit or thrown ball, sequela",W2109XS,W2109XS,,Yes,
"Unspecified superficial injury of unspecified parts of thorax, sequela",S2090XS,S2090XS,,Yes,
"Cystic meniscus, other medial meniscus, right knee",M23031,M23031,,Yes,
"Moderate laceration of left kidney, subsequent encounter",S37052D,S37052D,,Yes,
"Subluxation of distal interphalangeal joint of left index finger, subsequent encounter",S63241D,S63241D,,Yes,
"Salter-Harris Type II physeal fracture of lower end of radius, unspecified arm, subsequent encounter for fracture with delayed healing",S59229G,S59229G,,Yes,
"Traumatic rupture of collateral ligament of left index finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",S63411D,S63411D,,Yes,
"Unspecified complication of anesthesia during pregnancy, third trimester",O2993,O2993,,Yes,
"Intentional self-harm by hot tap water, subsequent encounter",X771XXD,X771XXD,,Yes,
"Maternal care for (suspected) damage to fetus by drugs, fetus 3",O355XX3,O355XX3,,Yes,
"Corrosion of third degree of left ear [any part, except ear drum], initial encounter",T20712A,T20712A,,Yes,
"Assault by unspecified sharp object, initial encounter",X999XXA,X999XXA,,Yes,
Diaphragmatic hernia without obstruction or gangrene,K449,K449,,Yes,
Other acquired deformities of unspecified foot,M216X9,M216X9,,Yes,
"Displaced fracture (avulsion) of medial epicondyle of left humerus, subsequent encounter for fracture with routine healing",S42442D,S42442D,,Yes,
"Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites",C8109,C8109,,Yes,
"Displaced fracture of distal phalanx of left ring finger, subsequent encounter for fracture with malunion",S62635P,S62635P,,Yes,
