Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Exposure to other electric current, sequela",W868XXS,W868XXS,,Yes,
"Other fracture of upper and lower end of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S82839F,S82839F,,Yes,
"Oligohydramnios, first trimester, not applicable or unspecified",O4101X0,O4101X0,,Yes,
Unspecified disorder of circulatory system,I999,I999,,Yes,
"Fracture of body of sternum, initial encounter for open fracture",S2222XB,S2222XB,,Yes,
Chlamydia psittaci infections,A70,A70,,Yes,
"Striking against glass with subsequent fall, sequela",W1802XS,W1802XS,,Yes,
Sporotrichosis arthritis,B4282,B4282,,Yes,
"Nondisplaced fracture of base of unspecified metacarpal bone, subsequent encounter for fracture with malunion",S62349P,S62349P,,Yes,
"Salter-Harris Type I physeal fracture of upper end of radius, unspecified arm, subsequent encounter for fracture with malunion",S59119P,S59119P,,Yes,
"Puncture wound without foreign body of unspecified ear, sequela",S01339S,S01339S,,Yes,
Bilateral primary osteoarthritis of knee,M170,M170,,Yes,
"Displaced fracture of unspecified ulna styloid process, subsequent encounter for closed fracture with delayed healing",S52613G,S52613G,,Yes,
"Displaced fracture of neck of first metacarpal bone, unspecified hand, subsequent encounter for fracture with nonunion",S62253K,S62253K,,Yes,
"Toxic effect of venom of other snake, undetermined, initial encounter",T63094A,T63094A,,Yes,
"Salter-Harris Type III physeal fracture of lower end of ulna, right arm, sequela",S59031S,S59031S,,Yes,
"Superficial foreign body of left hand, sequela",S60552S,S60552S,,Yes,
"Menstrual migraine, intractable, without status migrainosus",G43839,G43839,,Yes,
"Unspecified occupant of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter",V539XXD,V539XXD,,Yes,
"Contusion of unspecified great toe with damage to nail, subsequent encounter",S90219D,S90219D,,Yes,
"Poisoning by propionic acid derivatives, accidental (unintentional), subsequent encounter",T39311D,T39311D,,Yes,
"Other acute osteomyelitis, unspecified shoulder",M86119,M86119,,Yes,
"Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with nonunion",S52046K,S52046K,,Yes,
"Salter-Harris Type I physeal fracture of upper end of radius, unspecified arm, subsequent encounter for fracture with malunion",S59119P,S59119P,,Yes,
"Open bite, right elbow, subsequent encounter",S51051D,S51051D,,Yes,
"Complete traumatic amputation at level between elbow and wrist, right arm, sequela",S58111S,S58111S,,Yes,
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with delayed healing",S52034H,S52034M,,No,
"Other specified injury of radial artery at wrist and hand level of right arm, subsequent encounter",S65191D,S65191D,,Yes,
"Pressure ulcer of left elbow, unstageable",L89020,L89020,,Yes,
"Rheumatoid bursitis, unspecified hand",M06249,M06249,,Yes,
"Puncture wound without foreign body, right hip, sequela",S71031S,S71031S,,Yes,
"Nondisplaced fracture of third metatarsal bone, left foot, initial encounter for closed fracture",S92335A,S92335A,,Yes,
"Other fracture of unspecified great toe, initial encounter for open fracture",S92499B,S92499B,,Yes,
Merkel cell carcinoma of scalp and neck,C4A4,C4A4,,Yes,
Discord with counselors,Z644,Z644,,Yes,
"Unspecified effects of lightning, subsequent encounter",T7500XD,T7500XD,,Yes,
"Nondisplaced fracture of lateral malleolus of left fibula, subsequent encounter for open fracture type I or II with routine healing",S8265XE,S8265XE,,Yes,
"Displaced fracture of medial malleolus of right tibia, subsequent encounter for closed fracture with delayed healing",S8251XG,S8251XG,,Yes,
"Malignant mast cell neoplasm, unspecified",C9620,C9620,,Yes,
"Salter-Harris Type III physeal fracture of upper end of humerus, unspecified arm, subsequent encounter for fracture with routine healing",S49039D,S49039D,,Yes,
"Burn of third degree of left forearm, subsequent encounter",T22312D,T22312D,,Yes,
"Rheumatoid nodule, unspecified hand",M06349,M06349,,Yes,
Recurrent and persistent immunoglobulin A nephropathy with focal and segmental glomerular lesion,N02B2,N02B2,,Yes,
Tuberculous meningoencephalitis,A1782,A1782,,Yes,
"Striking against wall of swimming pool causing other injury, sequela",W22042S,W22042S,,Yes,
"Displaced spiral fracture of shaft of humerus, left arm, subsequent encounter for fracture with nonunion",S42342K,S42342K,,Yes,
"External constriction of left wrist, subsequent encounter",S60842D,S60842D,,Yes,
Frontal lobe and executive function deficit following nontraumatic intracerebral hemorrhage,I69114,I69114,,Yes,
"Displaced fracture of lateral end of left clavicle, initial encounter for closed fracture",S42032A,S42032A,,Yes,
"Person on outside of pick-up truck or van injured in noncollision transport accident in traffic accident, subsequent encounter",V587XXD,V587XXD,,Yes,
"Strain of muscle and tendon of unspecified wall of thorax, initial encounter",S29019A,S29019A,,Yes,
Personal history of diabetic foot ulcer,Z8631,Z8631,,Yes,
"Paraplegia, incomplete",G8222,G8222,,Yes,
"Corrosion of second degree of left wrist, subsequent encounter",T23672D,T23672D,,Yes,
"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, initial encounter",V0299XA,V0299XA,,Yes,
"Unspecified open wound of unspecified back wall of thorax with penetration into thoracic cavity, sequela",S21409S,S21409S,,Yes,
Failed attempted termination of pregnancy without complication,O074,O074,,Yes,
"Toxic effect of contact with other venomous fish, undetermined, sequela",T63594S,T63594S,,Yes,
"Malignant neoplasm of lower lip, inner aspect",C004,C004,,Yes,
"Laceration of flexor muscle, fascia and tendon of right ring finger at wrist and hand level, initial encounter",S66124A,S66124A,,Yes,
"Laceration of portal vein, subsequent encounter",S35311D,S35311D,,Yes,
"Displaced trimalleolar fracture of right lower leg, initial encounter for open fracture type IIIA, IIIB, or IIIC",S82851C,S82851C,,Yes,
"Nondisplaced midcervical fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",S72035C,S72035C,,Yes,
"Other secondary chronic gout, unspecified wrist, without tophus (tophi)",M1A4390,M1A4390,,Yes,
"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, initial encounter",S06334A,S06334A,,Yes,
"Fracture of lateral orbital wall, unspecified side, sequela",S02849S,S02849S,,Yes,
"Primary open-angle glaucoma, left eye, mild stage",H401121,H401121,,Yes,
"Unspecified injury of flexor muscle, fascia and tendon of right ring finger at wrist and hand level, initial encounter",S66104A,S66104A,,Yes,
"Laceration of extensor muscle, fascia and tendon of left middle finger at forearm level, subsequent encounter",S56424D,S56424D,,Yes,
"Maternal care for other (suspected) fetal abnormality and damage, fetal upper extremities anomalies, fetus 1",O35GXX1,O35GXX1,,Yes,
"War operations involving intentional restriction of air and airway, civilian, subsequent encounter",Y36461D,Y36461D,,Yes,
"Other psychoactive substance abuse with withdrawal, uncomplicated",F19130,F19130,,Yes,
"Subluxation of other parts of right shoulder girdle, initial encounter",S43391A,S43391A,,Yes,
"Fall into natural body of water striking side causing other injury, initial encounter",W16132A,W16132A,,Yes,
"Unspecified open wound of abdominal wall, left upper quadrant without penetration into peritoneal cavity, initial encounter",S31101A,S31101A,,Yes,
"Poisoning by diagnostic agents, intentional self-harm, initial encounter",T508X2A,T508X2A,,Yes,
"Adhesions due to foreign body accidentally left in body following endoscopic examination, subsequent encounter",T81514D,T81514D,,Yes,
"Nondisplaced transverse fracture of shaft of unspecified tibia, subsequent encounter for closed fracture with malunion",S82226P,S82226P,,Yes,
"Driver of bus injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter",V7900XD,V7900XD,,Yes,
"Poisoning by unspecified anesthetic, undetermined, subsequent encounter",T4144XD,T4144XD,,Yes,
Ovulation bleeding,N923,N923,,Yes,
"Avulsion of right eye, initial encounter",S0571XA,S0571XA,,Yes,
"Personal history of other malignant neoplasm of rectum, rectosigmoid junction, and anus",Z85048,Z85048,,Yes,
Idiopathic aseptic necrosis of right femur,M87051,M87051,,Yes,
"Toxic effect of unspecified seafood, undetermined, sequela",T6194XS,T6194XS,,Yes,
"Pedestrian injured in unspecified transport accident, initial encounter",V099XXA,V099XXA,,Yes,
"Pressure ulcer of left upper back, unspecified stage",L89129,L89129,,Yes,
"Displaced oblique fracture of shaft of unspecified femur, initial encounter for closed fracture",S72333A,S72333A,,Yes,
"Lesion of radial nerve, unspecified upper limb",G5630,G5630,,Yes,
"Poisoning by androgens and anabolic congeners, intentional self-harm, sequela",T387X2S,T387X2S,,Yes,
"Toxic effect of 2-Propanol, intentional self-harm, subsequent encounter",T512X2D,T512X2D,,Yes,
"Unspecified injury of long flexor muscle, fascia and tendon of right thumb at wrist and hand level, subsequent encounter",S66001D,S66001D,,Yes,
"Maternal care for excessive fetal growth, third trimester, not applicable or unspecified",O3663X0,O3663X0,,Yes,
"Passenger in pick-up truck or van injured in noncollision transport accident in traffic accident, sequela",V586XXS,V586XXS,,Yes,
"Displacement of electronic bone stimulator, initial encounter",T84320A,T84320A,,Yes,
"Military operations involving unspecified destruction of aircraft, civilian, subsequent encounter",Y37101D,Y37101D,,Yes,
"Nondisplaced oblique fracture of shaft of right ulna, initial encounter for open fracture type I or II",S52234B,S52234B,,Yes,
"Osteochondropathy, unspecified, left forearm",M93932,M93932,,Yes,
"Displaced segmental fracture of shaft of right fibula, subsequent encounter for closed fracture with nonunion",S82461K,S82461K,,Yes,
"Unspecified injury at T7-T10 level of thoracic spinal cord, subsequent encounter",S24103D,S24103D,,Yes,
"Other fracture of shaft of left femur, sequela",S72392S,S72392S,,Yes,
"Nondisplaced fracture of shaft of second metacarpal bone, right hand, initial encounter for closed fracture",S62350A,S62350A,,Yes,
"War operations involving friendly fire, sequela",Y3692XS,Y3692XS,,Yes,
"Nondisplaced subtrochanteric fracture of left femur, initial encounter for closed fracture",S7225XA,S7225XA,,Yes,
Other forms of paracoccidioidomycosis,B418,B418,,Yes,
"Fall from, out of or through other building or structure, subsequent encounter",W138XXD,W138XXD,,Yes,
Brucellosis due to Brucella melitensis,A230,A230,,Yes,
"Subluxation of unspecified cervical vertebrae, initial encounter",S13100A,S13100A,,Yes,
"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",E103292,E103292,,Yes,
"Fracture of bony thorax, part unspecified, sequela",S229XXS,S229XXS,,Yes,
"Nondisplaced spiral fracture of shaft of humerus, right arm, subsequent encounter for fracture with nonunion",S42344K,S42344K,,Yes,
"Streptococcus, group A, as the cause of diseases classified elsewhere",B950,B950,,Yes,
"Nondisplaced fracture of middle phalanx of right middle finger, subsequent encounter for fracture with routine healing",S62652D,S62652D,,Yes,
"Nondisplaced fracture of trapezium [larger multangular], left wrist, subsequent encounter for fracture with delayed healing",S62175G,S62175G,,Yes,
"Unspecified dislocation of right radial head, initial encounter",S53004A,S53004A,,Yes,
Type 1 diabetes mellitus with ketoacidosis without coma,E1010,E1010,,Yes,
Obstructive sleep apnea (adult) (pediatric),G4733,G4733,,Yes,
"Exposure to other noise, initial encounter",W429XXA,W429XXA,,Yes,
"Displaced avulsion fracture of right ischium, sequela",S32611S,S32611S,,Yes,
"Unspecified complication of foreign body accidentally left in body following endoscopic examination, sequela",T81504S,T81504S,,Yes,
Squamous cell carcinoma of skin of scalp and neck,C4442,C4442,,Yes,
"Bipolar disorder, current episode depressed, mild",F3131,F3131,,Yes,
"Fall due to collision between other powered watercraft and other watercraft or other object, subsequent encounter",V9123XD,V9123XD,,Yes,
"Asphyxiation due to being trapped in a car trunk, intentional self-harm, subsequent encounter",T71222D,T71222D,,Yes,
"Toxic effect of organophosphate and carbamate insecticides, undetermined, initial encounter",T600X4A,T600X4A,,Yes,
"Total (external) ophthalmoplegia, left eye",H4932,H4932,,Yes,
"Pathological fracture in neoplastic disease, unspecified foot, subsequent encounter for fracture with nonunion",M84576K,M84576K,,Yes,
"Unstable burst fracture of T5-T6 vertebra, sequela",S22052S,S22052S,,Yes,
"Acute on chronic slipped upper femoral epiphysis, unspecified stability (nontraumatic), bilateral hips",M93074,M93074,,Yes,
Symptomatic premature menopause,E28310,E28310,,Yes,
"Poisoning by intravenous anesthetics, undetermined, subsequent encounter",T411X4D,T411X4D,,Yes,
"Fracture of unspecified phalanx of other finger, initial encounter for closed fracture",S62608A,S62608A,,Yes,
"Post-traumatic osteoarthritis, left hand",M19142,M19142,,Yes,
"Other chondrocalcinosis, unspecified ankle and foot",M11279,M11279,,Yes,
Systemic inflammatory response syndrome (SIRS) of non-infectious origin without acute organ dysfunction,R6510,R6510,,Yes,
Vitiligo of right upper eyelid and periocular area,H02731,H02731,,Yes,
Encounter for screening for malignant neoplasm of respiratory organs,Z122,Z122,,Yes,
"Corrosion of second degree of upper back, initial encounter",T2163XA,T2163XA,,Yes,
"Open bite of left ring finger without damage to nail, sequela",S61255S,S61255S,,Yes,
"Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, third trimester",O42113,O42113,,Yes,
"Displaced comminuted fracture of shaft of radius, right arm, sequela",S52351S,S52351S,,Yes,
Encounter for initial prescription of vaginal ring hormonal contraceptive,Z30015,Z30015,,Yes,
"Other scooter (nonmotorized) accident, sequela",V00148S,V00148S,,Yes,
"Contusion of unspecified ring finger with damage to nail, sequela",S60149S,S60149S,,Yes,
"Displaced fracture of navicular [scaphoid] of left foot, subsequent encounter for fracture with nonunion",S92252K,S92252K,,Yes,
"Terrorism involving destruction of aircraft, public safety official injured, subsequent encounter",Y381X1D,Y381X1D,,Yes,
Leukemoid reaction,D72823,D72823,,Yes,
"Person on outside of pick-up truck or van injured in collision with pedal cycle in traffic accident, sequela",V517XXS,V517XXS,,Yes,
"Corrosion of unspecified degree of right ankle, sequela",T25411S,T25411S,,Yes,
"Passenger in heavy transport vehicle injured in collision with unspecified motor vehicles in traffic accident, initial encounter",V6950XA,V6950XA,,Yes,
"Displaced fracture of distal phalanx of left thumb, initial encounter for open fracture",S62522B,S62522B,,Yes,
"Displaced transverse fracture of shaft of right fibula, subsequent encounter for closed fracture with routine healing",S82421D,S82421D,,Yes,
"Traumatic rupture of volar plate of left middle finger at metacarpophalangeal and interphalangeal joint, initial encounter",S63433A,S63433A,,Yes,
Carcinoma in situ of buccal mucosa,D0002,D0002,,Yes,
"Corrosion of third degree of multiple sites of left ankle and foot, subsequent encounter",T25792D,T25792D,,Yes,
"Unspecified open wound of right middle finger without damage to nail, sequela",S61202S,S61202S,,Yes,
"Jumping or diving into swimming pool striking bottom causing other injury, subsequent encounter",W16522D,W16522D,,Yes,
Meningococcal myocarditis,A3952,A3952,,Yes,
"Displaced subtrochanteric fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S7222XJ,S7222XJ,,Yes,
"Corrosion of second degree of shoulder and upper limb, except wrist and hand, unspecified site, subsequent encounter",T2260XD,T2260XD,,Yes,
"Residual stage of open-angle glaucoma, right eye",H40151,H40151,,Yes,
"Food in respiratory tract, part unspecified causing asphyxiation, sequela",T17920S,T17920S,,Yes,
"Unspecified nondisplaced fracture of surgical neck of right humerus, subsequent encounter for fracture with routine healing",S42214D,S42214D,,Yes,
"Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",S06313A,S06313A,,Yes,
"Major laceration of right vertebral artery, initial encounter",S15121A,S15121A,,Yes,
"Hyperacusis, unspecified ear",H93239,H93239,,Yes,
Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere,B965,B965,,Yes,
"Maternal care for prolapse of gravid uterus, second trimester",O34522,O34522,,Yes,
"Unspecified fracture of other metacarpal bone, subsequent encounter for fracture with routine healing",S62308D,S62308D,,Yes,
"Laceration with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, subsequent encounter",S31623D,S31623D,,Yes,
"Legal intervention involving unspecified explosives, suspect injured, initial encounter",Y35103A,Y35103A,,Yes,
"Toxic effect of benzene, intentional self-harm, sequela",T521X2S,T521X2S,,Yes,
"Puncture wound without foreign body of unspecified thumb without damage to nail, initial encounter",S61039A,S61039A,,Yes,
Direct infection of vertebrae in infectious and parasitic diseases classified elsewhere,M01X8,M01X8,,Yes,
"Contusion of diaphragm, subsequent encounter",S27802D,S27802D,,Yes,
"Pregnancy care for patient with recurrent pregnancy loss, first trimester",O2621,O2621,,Yes,
"Passenger of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident, subsequent encounter",V8615XD,V8615XD,,Yes,
"Unspecified injury of other extensor muscle, fascia and tendon at forearm level, right arm, subsequent encounter",S56501D,S56501D,,Yes,
"Pedal cycle passenger injured in collision with other motor vehicles in traffic accident, subsequent encounter",V1959XD,V1959XD,,Yes,
"Military operations involving friendly fire, sequela",Y3792XS,Y3792XS,,Yes,
"Other injury of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level, subsequent encounter",S56399D,S56399D,,Yes,
"Poisoning by tetracyclic antidepressants, accidental (unintentional), initial encounter",T43021A,T43021A,,Yes,
"Displaced fracture of medial malleolus of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S8251XR,S8251XR,,Yes,
"Toxic effect of cobra venom, undetermined, sequela",T63044S,T63044S,,Yes,
Cellulitis of chest wall,L03313,L03313,,Yes,
"Contracture, left foot",M24575,M24575,,Yes,
"Other specified injury of popliteal vein, unspecified leg, subsequent encounter",S85599D,S85599D,,Yes,
"Displaced spiral fracture of shaft of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S82243N,S82243N,,Yes,
"Poisoning by mineralocorticoids and their antagonists, undetermined, sequela",T500X4S,T500X4S,,Yes,
"Toxic effect of nitroglycerin and other nitric acids and esters, assault, initial encounter",T655X3A,T655X3A,,Yes,
"Displaced fracture of anterior wall of unspecified acetabulum, subsequent encounter for fracture with delayed healing",S32413G,S32413G,,Yes,
"Monteggia's fracture of unspecified ulna, subsequent encounter for open fracture type I or II with nonunion",S52279M,S52279M,,Yes,
Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side,I69959,I69959,,Yes,
"Disorders of amino-acid transport, unspecified",E7200,E7200,,Yes,
"Torus fracture of lower end of unspecified ulna, subsequent encounter for fracture with malunion",S52629P,S52629P,,Yes,
"Drowning and submersion due to falling or jumping from burning sailboat, subsequent encounter",V9024XD,V9024XD,,Yes,
"Unspecified physeal fracture of lower end of left fibula, subsequent encounter for fracture with nonunion",S89302K,S89302K,,Yes,
"Effusion, left hip",M25452,M25452,,Yes,
Encounter for examination of ears and hearing with other abnormal findings,Z01118,Z01118,,Yes,
"Non-ABO incompatibility with delayed hemolytic transfusion reaction, sequela",T80A11S,T80A11S,,Yes,
"Nondisplaced other fracture of tuberosity of unspecified calcaneus, sequela",S92046S,S92046S,,Yes,
"Accidental discharge of other larger firearm, subsequent encounter",W3309XD,W3309XD,,Yes,
"Injury of radial nerve at wrist and hand level of unspecified arm, subsequent encounter",S6420XD,S6420XD,,Yes,
"Unspecified superficial injury of penis, subsequent encounter",S3093XD,S3093XD,,Yes,
"Nontraumatic intracerebral hemorrhage in hemisphere, subcortical",I610,I610,,Yes,
"Acute actinic otitis externa, left ear",H60512,H60512,,Yes,
"Mild laceration of heart with hemopericardium, subsequent encounter",S26020D,S26020D,,Yes,
"Adverse effect of therapeutic gases, sequela",T415X5S,T415X5S,,Yes,
"Abrasion of left wrist, subsequent encounter",S60812D,S60812D,,Yes,
"Foreign body granuloma of soft tissue, not elsewhere classified, left shoulder",M60212,M60212,,Yes,
"Adult psychological abuse, suspected, initial encounter",T7631XA,T7631XA,,Yes,
"Dislocation of radiocarpal joint of right wrist, subsequent encounter",S63024D,S63024D,,Yes,
Inhalant dependence with unspecified inhalant-induced disorder,F1829,F1829,,Yes,
"Rheumatoid arthritis without rheumatoid factor, unspecified wrist",M06039,M06039,,Yes,
"Corrosion of third degree of left scapular region, initial encounter",T22762A,T22762A,,Yes,
"Poisoning by expectorants, assault, initial encounter",T484X3A,T484X3A,,Yes,
"Unspecified fracture of shaft of left fibula, sequela",S82402S,S82402S,,Yes,
"Displaced comminuted fracture of shaft of ulna, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52251C,S52251C,,Yes,
"Sickle-cell thalassemia beta zero with crisis, unspecified",D57439,D57439,,Yes,
"Poisoning by peripheral vasodilators, intentional self-harm, subsequent encounter",T467X2D,T467X2D,,Yes,
"Salter-Harris Type II physeal fracture of lower end of radius, left arm, initial encounter for closed fracture",S59222A,S59222A,,Yes,
"Parasitic cyst of iris, ciliary body or anterior chamber, unspecified eye",H21339,H21339,,Yes,
"Obstructed labor due to breech presentation, fetus 1",O641XX1,O641XX2,,No,
"Anterior spinal artery compression syndromes, lumbar region",M47016,M47016,,Yes,
"Laceration with foreign body, unspecified lower leg, initial encounter",S81829A,S81829A,,Yes,
"Unspecified occupant of bus injured in collision with pedal cycle in traffic accident, initial encounter",V719XXA,V719XXA,,Yes,
Victim of crime and terrorism,Z654,Z654,,Yes,
"Corrosion of second degree of left elbow, subsequent encounter",T22622D,T22622D,,Yes,
"Other fish poisoning, undetermined, initial encounter",T61774A,T61774A,,Yes,
"Maternal care for other rhesus isoimmunization, third trimester, fetus 5",O360935,O360935,,Yes,
"Periprosthetic fracture around internal prosthetic left hip joint, subsequent encounter",M9702XD,M9702XD,,Yes,
"Injury of optic nerve, right eye, initial encounter",S04011A,S04011A,,Yes,
"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with routine healing",S72001D,S72001D,,Yes,
Other epidermolysis bullosa,Q818,Q818,,Yes,
Pectus carinatum,Q677,Q677,,Yes,
Missed abortion,O021,O021,,Yes,
"Displaced midcervical fracture of left femur, subsequent encounter for open fracture type I or II with delayed healing",S72032H,S72032H,,Yes,
"Driver of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter",V355XXD,V355XXD,,Yes,
"Puncture wound with foreign body of unspecified great toe without damage to nail, initial encounter",S91143A,S91143A,,Yes,
